,UniProt1,UniProt2,symbol1,symbol2,evidence type
342,O60602,O95727,TLR5,CRTAM,pred
343,O60602,P32519,TLR5,ELF1,pred
344,O60602,P42229,TLR5,STAT5A,pred
345,O60602,Q9NR96,TLR5,TLR9,pred
346,O60602,Q9H257,TLR5,CARD9,pred
347,O60602,Q92692,TLR5,NECTIN2,pred
348,O60602,P08575,TLR5,PTPRC,pred
349,O60602,Q9HB29,TLR5,IL1RL2,pred
350,O60602,Q8NET5,TLR5,NFAM1,pred
351,O60603,P11215,TLR2,ITGAM,pred
352,O60603,P19878,TLR2,NCF2,pred
353,O60603,Q13568,TLR2,IRF5,pred
354,O60667,P19878,FCMR,NCF2,pred
355,O60674,P16410,JAK2,CTLA4,exp;ortho;pred
356,O60674,P29376,JAK2,LTK,pred
357,O60674,P31994,JAK2,FCGR2B,pred
358,O60674,Q13546,JAK2,RIPK1,pred
359,O60674,Q14765,JAK2,STAT4,pred
360,O60674,Q9Y2R2,JAK2,PTPN22,pred
361,O60684,Q13568,KPNA6,IRF5,exp
362,O60733,P24855,PLA2G6,DNASE1,pred
363,O60759,P19878,CYTIP,NCF2,pred
364,O60825,P21580,PFKFB2,TNFAIP3,pred
365,O60880,P19878,SH2D1A,NCF2,pred
366,O60880,P31994,SH2D1A,FCGR2B,exp
367,O60880,Q14765,SH2D1A,STAT4,pred
368,O60882,P02741,MMP20,CRP,pred
369,O60890,P19878,OPHN1,NCF2,pred
370,O60934,Q9NSU2,NBN,TREX1,exp
371,O60936,Q13546,NOL3,RIPK1,pred
372,O60939,P0C0L4,SCN2B,C4A,exp
373,O75015,P02741,FCGR3B,CRP,pred
374,O75015,P11215,FCGR3B,ITGAM,pred
375,O75015,P19878,FCGR3B,NCF2,pred
376,O75015,P31994,FCGR3B,FCGR2B,pred
377,O75022,P11215,LILRB3,ITGAM,pred
378,O75044,P19878,SRGAP2,NCF2,pred
379,O75144,P11215,ICOSLG,ITGAM,pred
380,O75144,P16410,ICOSLG,CTLA4,pred
381,O75159,O95267,SOCS5,RASGRP1,pred
382,O75159,Q14765,SOCS5,STAT4,pred
383,O75326,P31994,SEMA7A,FCGR2B,pred
384,O75340,Q13546,PDCD6,RIPK1,pred
385,O75364,P0C0L5,PITX3,C4B;C4B_2,exp
386,O75376,Q13568,NCOR1,IRF5,exp
387,O75379,P16410,VAMP4,CTLA4,pred
388,O75382,P21580,TRIM3,TNFAIP3,exp
389,O75385,P29376,ULK1,LTK,pred
390,O75385,Q13546,ULK1,RIPK1,pred
391,O75443,P11215,TECTA,ITGAM,pred
392,O75445,P02741,USH2A,CRP,pred
393,O75460,Q13546,ERN1,RIPK1,exp;pred
394,O75493,P02741,CA11,CRP,exp
395,O75493,Q13546,CA11,RIPK1,pred
396,O75509,Q13546,TNFRSF21,RIPK1,pred
397,O75563,Q9Y2R2,SKAP2,PTPN22,exp
398,O75578,P11215,ITGA10,ITGAM,pred
399,O75592,P21580,MYCBP2,TNFAIP3,pred
400,O75604,Q13546,USP2,RIPK1,exp
401,O75618,Q13546,DEDD,RIPK1,pred
402,O75626,Q14765,PRDM1,STAT4,pred
403,O75636,P02741,FCN3,CRP,pred
404,O75643,P21580,SNRNP200,TNFAIP3,pred
405,O75688,O95267,PPM1B,RASGRP1,exp
406,O75688,P21580,PPM1B,TNFAIP3,pred
407,O75688,Q13546,PPM1B,RIPK1,pred
408,O75716,Q13546,STK16,RIPK1,pred
409,O75783,P24855,RHBDL1,DNASE1,pred
410,O75791,O95267,GRAP2,RASGRP1,pred
411,O75791,Q9Y2R2,GRAP2,PTPN22,pred
412,O75874,Q9Y2R2,IDH1,PTPN22,pred
413,O75882,P0C0L4,ATRN,C4A,pred
414,O75888,P23510,TNFSF13,TNFSF4,pred
415,O75914,P19878,PAK3,NCF2,pred
416,O75925,Q14765,PIAS1,STAT4,pred
417,O75928,Q14765,PIAS2,STAT4,exp
418,O75962,Q13546,TRIO,RIPK1,pred
419,O75973,P24855,C1QL1,DNASE1,pred
420,O75995,P19878,SASH3,NCF2,pred
421,O75995,Q14765,SASH3,STAT4,pred
422,O76009,P24855,KRT33A,DNASE1,pred
423,O76036,P0C0L5,NCR1,C4B;C4B_2,pred
424,O76039,Q13546,CDKL5,RIPK1,pred
425,O76061,P02741,STC2,CRP,exp
