,UniProt1,UniProt2,symbol1,symbol2,evidence type
1083,P08631,Q14765,HCK,STAT4,pred
1084,P08631,Q9Y2R2,HCK,PTPN22,pred
1085,P08637,Q9Y2R2,FCGR3A,PTPN22,pred
1086,P08648,P11215,ITGA5,ITGAM,pred
1087,P08670,P21580,VIM,TNFAIP3,pred
1088,P08670,Q13546,VIM,RIPK1,pred
1089,P08754,P19878,GNAI3,NCF2,exp
1090,P08754,Q13546,GNAI3,RIPK1,pred
1091,P08887,P0C0L5,IL6R,C4B;C4B_2,pred
1092,P08887,P11215,IL6R,ITGAM,pred
1093,P08922,P29376,ROS1,LTK,pred
1094,P08962,P11215,CD63,ITGAM,pred
1095,P08F94,Q15116,PKHD1,PDCD1,pred
1096,P09172,P11215,DBH,ITGAM,pred
1097,P09326,P11215,CD48,ITGAM,pred
1098,P09326,P16410,CD48,CTLA4,pred
1099,P09326,P31994,CD48,FCGR2B,pred
1100,P09326,Q9Y2R2,CD48,PTPN22,pred
1101,P09327,P24855,VIL1,DNASE1,pred
1102,P09327,Q13546,VIL1,RIPK1,pred
1103,P09341,P11215,CXCL1,ITGAM,pred
1104,P09341,P19878,CXCL1,NCF2,pred
1105,P09486,P23510,SPARC,TNFSF4,pred
1106,P09493,Q13546,TPM1,RIPK1,pred
1107,P09564,P11215,CD7,ITGAM,pred
1108,P09564,P16410,CD7,CTLA4,pred
1109,P09564,P29376,CD7,LTK,pred
1110,P09564,P31994,CD7,FCGR2B,pred
1111,P09619,P11215,PDGFRB,ITGAM,pred
1112,P09619,P16410,PDGFRB,CTLA4,pred
1113,P09619,P29376,PDGFRB,LTK,pred
1114,P09619,P31994,PDGFRB,FCGR2B,pred
1115,P09619,Q13546,PDGFRB,RIPK1,pred
1116,P09619,Q9Y2R2,PDGFRB,PTPN22,exp;pred
1117,P09651,Q13546,HNRNPA1,RIPK1,pred
1118,P09693,Q9Y2R2,CD3G,PTPN22,pred
1119,P09769,P19878,FGR,NCF2,pred
1120,P09769,P29376,FGR,LTK,pred
1121,P09769,Q14765,FGR,STAT4,pred
1122,P09871,P0C0L4,C1S,C4A,exp;pred
1123,P09871,P0C0L5,C1S,C4B;C4B_2,exp;pred
1124,P09871,P19878,C1S,NCF2,pred
1125,P09874,P0C0L5,PARP1,C4B;C4B_2,pred
1126,P09874,P21580,PARP1,TNFAIP3,pred
1127,P09874,Q13546,PARP1,RIPK1,pred
1128,P09874,Q13609,PARP1,DNASE1L3,pred
1129,P09912,Q13568,IFI6,IRF5,pred
1130,P09914,Q13568,IFIT1,IRF5,pred
1131,P09917,P11215,ALOX5,ITGAM,pred
1132,P09923,P24855,ALPI,DNASE1,pred
1133,P09923,Q13568,ALPI,IRF5,exp
1134,P0C0L4,P0C0L5,C4A,C4B;C4B_2,pred
1135,P0C0L4,P98066,C4A,TNFAIP6,pred
1136,P0C0L4,P20023,C4A,CR2,pred
1137,P0C0L4,Q16625,C4A,OCLN,exp
1138,P0C0L4,P23771,C4A,GATA3,exp
1139,P0C0L4,Q9P296,C4A,C5AR2,exp
1140,P0C0L4,P16581,C4A,SELE,pred
1141,P0C0L4,Q05315,C4A,CLC,pred
1142,P0C0L4,Q86XK7,C4A,VSIG1,exp
1143,P0C0L4,P10643,C4A,C7,pred
1144,P0C0L4,P15151,C4A,PVR,exp
1145,P0C0L4,Q9UHV8,C4A,LGALS13,pred
1146,P0C0L4,Q6UVK1,C4A,CSPG4,pred
1147,P0C0L4,P39900,C4A,MMP12,pred
1148,P0C0L4,Q16581,C4A,C3AR1,exp
1149,P0C0L4,Q03591,C4A,CFHR1,pred
1150,P0C0L4,P11226,C4A,MBL2,pred
1151,P0C0L4,Q8N9F7,C4A,GDPD1,exp
1152,P0C0L4,Q9ULB1,C4A,NRXN1,pred
1153,P0C0L4,P26022,C4A,PTX3,pred
1154,P0C0L4,Q96L92,C4A,SNX27,exp
1155,P0C0L4,P13501,C4A,CCL5,exp
1156,P0C0L4,Q14807,C4A,KIF22,exp
1157,P0C0L4,P13671,C4A,C6,pred
1158,P0C0L4,P25054,C4A,APC,exp
1159,P0C0L4,P17927,C4A,CR1,exp;pred
1160,P0C0L4,P15529,C4A,CD46,pred
1161,P0C0L4,Q04726,C4A,TLE3,exp
1162,P0C0L4,P20851,C4A,C4BPB,pred
1163,P0C0L4,Q6P995,C4A,FAM171B,exp
1164,P0C0L4,P14151,C4A,SELL,pred
1165,P0C0L4,Q9BXR6,C4A,CFHR5,pred
1166,P0C0L4,Q16594,C4A,TAF9,exp
1167,P0C0L4,P23327,C4A,HRC,pred
1168,P0C0L4,P46059,C4A,SLC15A1,exp
1169,P0C0L4,Q9NZP8,C4A,C1RL,pred
1170,P0C0L4,Q9UHF7,C4A,TRPS1,exp
1171,P0C0L4,Q6ISB3,C4A,GRHL2,exp
1172,P0C0L4,Q9NPA2,C4A,MMP25,pred
1173,P0C0L4,P48552,C4A,NRIP1,exp
1174,P0C0L4,P48740,C4A,MASP1,pred
1175,P0C0L4,P11279,C4A,LAMP1,exp
1176,P0C0L4,Q9Y4C0,C4A,NRXN3,pred
1177,P0C0L4,P49736,C4A,MCM2,exp
1178,P0C0L4,P16109,C4A,SELP,pred
1179,P0C0L4,Q01814,C4A,ATP2B2,exp
1180,P0C0L4,P27361,C4A,MAPK3,pred
1181,P0C0L5,Q99650,C4B;C4B_2,OSMR,pred
1182,P0C0L5,Q9BXR6,C4B;C4B_2,CFHR5,pred
1183,P0C0L5,P13726,C4B;C4B_2,F3,pred
1184,P0C0L5,Q92692,C4B;C4B_2,NECTIN2,pred
1185,P0C0L5,Q9UGM3,C4B;C4B_2,DMBT1,pred
1186,P0C0L5,Q9HBG7,C4B;C4B_2,LY9,pred
1187,P0C0L5,Q29980,C4B;C4B_2,MICB,pred
1188,P0C0L5,P25942,C4B;C4B_2,CD40,pred
1189,P0C0L5,P13501,C4B;C4B_2,CCL5,pred
1190,P0C0L5,P29320,C4B;C4B_2,EPHA3,pred
1191,P0C0L5,P61769,C4B;C4B_2,B2M,pred
1192,P0C0L5,Q9UDY8,C4B;C4B_2,MALT1,pred
1193,P0C0L5,P19320,C4B;C4B_2,VCAM1,pred
1194,P0C0L5,P20701,C4B;C4B_2,ITGAL,pred
1195,P0C0L5,Q14807,C4B;C4B_2,KIF22,exp
1196,P0C0L5,P43405,C4B;C4B_2,SYK,pred
1197,P0C0L5,Q86UP6,C4B;C4B_2,CUZD1,pred
1198,P0C0L5,Q9BY67,C4B;C4B_2,CADM1,pred
1199,P0C0L5,Q6UWB1,C4B;C4B_2,IL27RA,pred
1200,P0C0L5,Q01151,C4B;C4B_2,CD83,pred
1201,P0C0L5,Q9NZC2,C4B;C4B_2,TREM2,pred
1202,P0C0L5,Q9NP99,C4B;C4B_2,TREM1,pred
1203,P0C0L5,Q86VB7,C4B;C4B_2,CD163,pred
1204,P0C0L5,P40763,C4B;C4B_2,STAT3,pred
1205,P0C0L5,P13500,C4B;C4B_2,CCL2,pred
1206,P0C0L5,Q9UH65,C4B;C4B_2,SWAP70,pred
1207,P0C0L5,P29122,C4B;C4B_2,PCSK6,pred
1208,P0C0L5,P43403,C4B;C4B_2,ZAP70,pred
1209,P0C0L5,P48740,C4B;C4B_2,MASP1,pred
1210,P0C0L5,Q6UXL0,C4B;C4B_2,IL20RB,pred
1211,P0C0L5,P50281,C4B;C4B_2,MMP14,pred
1212,P0C0L5,P49736,C4B;C4B_2,MCM2,exp
1213,P0C0L5,Q29983,C4B;C4B_2,MICA,pred
1214,P0C0L5,P15529,C4B;C4B_2,CD46,exp;pred
1215,P0C0L5,P29965,C4B;C4B_2,CD40LG,pred
1216,P0C0L5,P32519,C4B;C4B_2,ELF1,pred
1217,P0C0L5,P10643,C4B;C4B_2,C7,pred
1218,P0C0L5,Q14213,C4B;C4B_2,EBI3,pred
1219,P0C0L5,Q9UKR3,C4B;C4B_2,KLK13,pred
1220,P0C0L5,Q16653,C4B;C4B_2,MOG,pred
1221,P0C0L5,Q8WV28,C4B;C4B_2,BLNK,pred
1222,P0C0L5,P35030,C4B;C4B_2,PRSS3,pred
1223,P0C0L5,P26842,C4B;C4B_2,CD27,pred
1224,P0C0L5,P24821,C4B;C4B_2,TNC,pred
1225,P0C0L5,Q9NZP8,C4B;C4B_2,C1RL,pred
1226,P0C0L5,Q04206,C4B;C4B_2,RELA,pred
1227,P0C0L5,Q8NBP7,C4B;C4B_2,PCSK9,pred
1228,P0C0L5,Q96EP0,C4B;C4B_2,RNF31,pred
1229,P0C0L5,Q9Y5Q5,C4B;C4B_2,CORIN,pred
1230,P0C0L5,P15151,C4B;C4B_2,PVR,pred
1231,P0C0L5,Q9Y279,C4B;C4B_2,VSIG4,pred
1232,P0C0L5,P56945,C4B;C4B_2,BCAR1,pred
1233,P0C0L5,Q9Y6Q6,C4B;C4B_2,TNFRSF11A,pred
1234,P0C0L5,Q9NQ25,C4B;C4B_2,SLAMF7,pred
1235,P0C0L5,P20023,C4B;C4B_2,CR2,pred
1236,P0CG47,P21580,UBB,TNFAIP3,exp
1237,P0CG48,P21580,UBC,TNFAIP3,exp
1238,P0CG48,Q13546,UBC,RIPK1,exp
1239,P10124,P19878,SRGN,NCF2,pred
1240,P10124,P21580,SRGN,TNFAIP3,pred
1241,P10145,P11215,CXCL8,ITGAM,pred
1242,P10145,P21580,CXCL8,TNFAIP3,pred
1243,P10145,Q13568,CXCL8,IRF5,pred
1244,P10316,P16410,HLA-A,CTLA4,pred
1245,P10319,P16410,HLA-B,CTLA4,pred
1246,P10321,P31994,HLA-C,FCGR2B,pred
1247,P10398,P21580,ARAF,TNFAIP3,pred
1248,P10398,P29376,ARAF,LTK,pred
1249,P10398,Q13546,ARAF,RIPK1,pred
1250,P10415,Q13546,BCL2,RIPK1,pred
1251,P10586,P11215,PTPRF,ITGAM,pred
1252,P10586,Q9Y2R2,PTPRF,PTPN22,pred
1253,P10636,P21580,MAPT,TNFAIP3,pred
1254,P10636,Q13546,MAPT,RIPK1,pred
1255,P10643,P20023,C7,CR2,pred
1256,P10721,P16410,KIT,CTLA4,pred
1257,P10721,P29376,KIT,LTK,pred
1258,P10721,P31994,KIT,FCGR2B,pred
1259,P10721,Q13546,KIT,RIPK1,pred
1260,P10721,Q14765,KIT,STAT4,pred
1261,P10721,Q9Y2R2,KIT,PTPN22,pred
1262,P10747,P11215,CD28,ITGAM,pred
1263,P10747,P16410,CD28,CTLA4,pred
1264,P10747,P29376,CD28,LTK,pred
1265,P10747,Q15116,CD28,PDCD1,pred
1266,P10768,Q9Y2R2,ESD,PTPN22,pred
1267,P10809,P21580,HSPD1,TNFAIP3,pred
1268,P10809,Q13546,HSPD1,RIPK1,pred
1269,P10912,P29376,GHR,LTK,pred
1270,P10912,P31994,GHR,FCGR2B,pred
1271,P10912,Q9Y2R2,GHR,PTPN22,exp;pred
1272,P10914,P19878,IRF1,NCF2,pred
1273,P10914,P21580,IRF1,TNFAIP3,pred
1274,P10914,Q13546,IRF1,RIPK1,pred
1275,P10914,Q13568,IRF1,IRF5,exp;pred
1276,P10914,Q14765,IRF1,STAT4,pred
1277,P10966,P11215,CD8B,ITGAM,pred
1278,P10966,P16410,CD8B,CTLA4,pred
1279,P10966,P23510,CD8B,TNFSF4,pred
1280,P10966,P31994,CD8B,FCGR2B,pred
1281,P11021,P21580,HSPA5,TNFAIP3,pred
1282,P11021,Q13546,HSPA5,RIPK1,exp;pred
1283,P11021,Q9Y2R2,HSPA5,PTPN22,pred
1284,P11117,Q15116,ACP2,PDCD1,exp
1285,P11142,P19878,HSPA8,NCF2,exp
1286,P11142,P21580,HSPA8,TNFAIP3,pred
1287,P11142,Q13546,HSPA8,RIPK1,exp;pred
1288,P11142,Q13568,HSPA8,IRF5,pred
1289,P11215,Q99062,ITGAM,CSF3R,pred
1290,P11215,P20702,ITGAM,ITGAX,pred
1291,P11215,Q9NPG4,ITGAM,PCDH12,pred
1292,P11215,P40200,ITGAM,CD96,pred
1293,P11215,Q9UIB8,ITGAM,CD84,pred
1294,P11215,Q14517,ITGAM,FAT1,pred
1295,P11215,P49767,ITGAM,VEGFC,pred
1296,P11215,Q13797,ITGAM,ITGA9,pred
1297,P11215,Q92956,ITGAM,TNFRSF14,pred
1298,P11215,Q9NZQ7,ITGAM,CD274,pred
1299,P11215,P18084,ITGAM,ITGB5,pred
1300,P11215,P19256,ITGAM,CD58,pred
1301,P11215,P49715,ITGAM,CEBPA,pred
1302,P11215,P21333,ITGAM,FLNA,pred
1303,P11215,Q8WZ75,ITGAM,ROBO4,pred
1304,P11215,P42226,ITGAM,STAT6,pred
1305,P11215,Q92478,ITGAM,CLEC2B,pred
1306,P11215,Q6UWV2,ITGAM,MPZL3,pred
1307,P11215,Q8N6C8,ITGAM,LILRA3,pred
1308,P11215,P16109,ITGAM,SELP,pred
1309,P11215,Q9NP99,ITGAM,TREM1,pred
1310,P11215,Q99715,ITGAM,COL12A1,pred
1311,P11215,Q5TFQ8,ITGAM,SIRPB1,pred
1312,P11215,Q9H0E2,ITGAM,TOLLIP,pred
1313,P11215,P21854,ITGAM,CD72,pred
1314,P11215,Q8N149,ITGAM,LILRA2,pred
1315,P11215,Q7Z6M3,ITGAM,MILR1,pred
1316,P11215,Q5JSJ4,ITGAM,INTS6L,pred
1317,P11215,P13591,ITGAM,NCAM1,pred
1318,P11215,Q03001,ITGAM,DST,pred
1319,P11215,Q9BXN2,ITGAM,CLEC7A,pred
1320,P11215,P42229,ITGAM,STAT5A,pred
1321,P11215,P25025,ITGAM,CXCR2,pred
1322,P11215,Q30201,ITGAM,HFE,pred
1323,P11215,P13688,ITGAM,CEACAM1,pred
1324,P11215,P40933,ITGAM,IL15,pred
1325,P11215,Q9HCK4,ITGAM,ROBO2,pred
1326,P11215,P35579,ITGAM,MYH9,pred
1327,P11215,P48740,ITGAM,MASP1,pred
1328,P11215,Q15582,ITGAM,TGFBI,exp
1329,P11215,Q9UHI8,ITGAM,ADAMTS1,pred
1330,P11215,Q9BQ51,ITGAM,PDCD1LG2,pred
1331,P11215,Q86YW5,ITGAM,TREML1,pred
1332,P11215,P16581,ITGAM,SELE,pred
1333,P11215,P51572,ITGAM,BCAP31,exp
1334,P11215,Q5KU26,ITGAM,COLEC12,pred
1335,P11215,Q9NWZ3,ITGAM,IRAK4,pred
1336,P11215,Q6IQ23,ITGAM,PLEKHA7,pred
1337,P11215,Q6UXB4,ITGAM,CLEC4G,pred
1338,P11215,Q13683,ITGAM,ITGA7,pred
1339,P11215,Q9HCL0,ITGAM,PCDH18,pred
1340,P11215,Q96F15,ITGAM,GIMAP5,pred
1341,P11215,Q14112,ITGAM,NID2,pred
1342,P11215,Q16270,ITGAM,IGFBP7,pred
1343,P11215,Q86YT9,ITGAM,JAML,pred
1344,P11215,Q14116,ITGAM,IL18,pred
1345,P11215,Q96QH2,ITGAM,PRAM1,pred
1346,P11215,P33681,ITGAM,CD80,pred
1347,P11215,Q9P121,ITGAM,NTM,pred
1348,P11215,Q15744,ITGAM,CEBPE,pred
1349,P11215,Q96RW7,ITGAM,HMCN1,pred
1350,P11215,P23229,ITGAM,ITGA6,pred
1351,P11215,Q96SY0,ITGAM,INTS14,pred
1352,P11215,P16410,ITGAM,CTLA4,pred
1353,P11215,Q8WVV5,ITGAM,BTN2A2,pred
1354,P11215,Q9UGN4,ITGAM,CD300A,pred
1355,P11215,Q15004,ITGAM,PCLAF,pred
1356,P11215,Q8WWW0,ITGAM,RASSF5,pred
1357,P11215,P16885,ITGAM,PLCG2,pred
1358,P11215,Q9P1W8,ITGAM,SIRPG,pred
1359,P11215,P24158,ITGAM,PRTN3,exp
1360,P11215,P21730,ITGAM,C5AR1,pred
1361,P11215,P12318,ITGAM,FCGR2A,pred
1362,P11215,P16144,ITGAM,ITGB4,pred
1363,P11215,P49716,ITGAM,CEBPD,pred
1364,P11215,Q8TDQ0,ITGAM,HAVCR2,pred
1365,P11215,Q9Y5E9,ITGAM,PCDHB14,pred
1366,P11215,Q8TDQ1,ITGAM,CD300LF,pred
1367,P11215,Q9Y490,ITGAM,TLN1,pred
1368,P11215,Q9Y5H1,ITGAM,PCDHGA2,pred
1369,P11215,P20138,ITGAM,CD33,pred
1370,P11215,Q9Y5G1,ITGAM,PCDHGB3,pred
1371,P11215,P17948,ITGAM,FLT1,pred
1372,P11215,Q9BX59,ITGAM,TAPBPL,pred
1373,P11215,P43405,ITGAM,SYK,pred
1374,P11215,P31994,ITGAM,FCGR2B,pred
1375,P11215,P98160,ITGAM,HSPG2,pred
1376,P11215,Q9Y5G8,ITGAM,PCDHGA5,pred
1377,P11215,P51617,ITGAM,IRAK1,exp;pred
1378,P11215,Q14773,ITGAM,ICAM4,exp;pred
1379,P11215,P20827,ITGAM,EFNA1,pred
1380,P11215,Q14896,ITGAM,MYBPC3,pred
1381,P11215,Q9Y5I0,ITGAM,PCDHA13,pred
1382,P11215,Q14943,ITGAM,KIR3DS1,pred
1383,P11215,Q01151,ITGAM,CD83,pred
1384,P11215,P13612,ITGAM,ITGA4,pred
1385,P11215,Q9H6X2,ITGAM,ANTXR1,pred
1386,P11215,Q8N126,ITGAM,CADM3,pred
1387,P11215,Q9Y4G6,ITGAM,TLN2,pred
1388,P11215,Q00872,ITGAM,MYBPC1,pred
1389,P11215,Q9Y5G6,ITGAM,PCDHGA7,pred
1390,P11215,P78423,ITGAM,CX3CL1,pred
1391,P11215,P23769,ITGAM,GATA2,pred
1392,P11215,Q7Z3S7,ITGAM,CACNA2D4,pred
1393,P11215,Q13349,ITGAM,ITGAD,pred
1394,P11215,P18564,ITGAM,ITGB6,pred
1395,P11215,P20701,ITGAM,ITGAL,pred
1396,P11215,P38570,ITGAM,ITGAE,pred
1397,P11215,P48061,ITGAM,CXCL12,pred
1398,P11215,P17927,ITGAM,CR1,pred
1399,P11215,Q04912,ITGAM,MST1R,pred
1400,P11215,P15498,ITGAM,VAV1,pred
1401,P11215,Q14324,ITGAM,MYBPC2,pred
1402,P11215,Q9BZZ2,ITGAM,SIGLEC1,pred
1403,P11215,Q9NR99,ITGAM,MXRA5,pred
1404,P11215,P78509,ITGAM,RELN,pred
1405,P11215,Q9BX67,ITGAM,JAM3,exp
1406,P11215,Q02487,ITGAM,DSC2,pred
1407,P11215,Q9NPY3,ITGAM,CD93,pred
1408,P11215,P78380,ITGAM,OLR1,pred
1409,P11215,Q08722,ITGAM,CD47,pred
1410,P11215,P26006,ITGAM,ITGA3,pred
1411,P11215,Q9HC29,ITGAM,NOD2,pred
1412,P11215,Q92692,ITGAM,NECTIN2,pred
1413,P11215,P28068,ITGAM,HLA-DMB,pred
1414,P11215,P12111,ITGAM,COL6A3,pred
1415,P11215,P16112,ITGAM,ACAN,pred
1416,P11215,P13501,ITGAM,CCL5,pred
1417,P11215,Q9Y279,ITGAM,VSIG4,pred
1418,P11215,Q7Z6A9,ITGAM,BTLA,pred
1419,P11215,Q9NQ25,ITGAM,SLAMF7,pred
1420,P11215,P40189,ITGAM,IL6ST,pred
1421,P11215,Q76LX8,ITGAM,ADAMTS13,pred
1422,P11215,P61224,ITGAM,RAP1B,pred
1423,P11215,Q8NFW1,ITGAM,COL22A1,pred
1424,P11215,Q9NZC2,ITGAM,TREM2,pred
1425,P11215,P13598,ITGAM,ICAM2,exp;pred
1426,P11215,Q02556,ITGAM,IRF8,pred
1427,P11215,P42081,ITGAM,CD86,pred
1428,P11215,Q9NNX6,ITGAM,CD209,exp;pred
1429,P11215,Q8NET5,ITGAM,NFAM1,pred
1430,P11215,Q9UKX5,ITGAM,ITGA11,pred
1431,P11215,P35968,ITGAM,KDR,pred
1432,P11215,Q13203,ITGAM,MYBPH,pred
1433,P11215,P61812,ITGAM,TGFB2,pred
1434,P11215,Q14213,ITGAM,EBI3,pred
1435,P11215,P26010,ITGAM,ITGB7,pred
1436,P11215,P19876,ITGAM,CXCL3,pred
1437,P11215,P16234,ITGAM,PDGFRA,pred
1438,P11215,P16284,ITGAM,PECAM1,pred
1439,P11215,Q96RD9,ITGAM,FCRL5,pred
1440,P11215,Q9Y6N7,ITGAM,ROBO1,pred
1441,P11215,Q13478,ITGAM,IL18R1,pred
1442,P11215,P26038,ITGAM,MSN,pred
1443,P11215,P19827,ITGAM,ITIH1,pred
1444,P11215,Q01974,ITGAM,ROR2,pred
1445,P11215,P26012,ITGAM,ITGB8,pred
1446,P11215,Q9UMF0,ITGAM,ICAM5,pred
1447,P11215,Q9NYQ7,ITGAM,CELSR3,pred
1448,P11215,Q9Y616,ITGAM,IRAK3,pred
1449,P11215,Q15306,ITGAM,IRF4,pred
1450,P11215,P13500,ITGAM,CCL2,pred
1451,P11215,P43121,ITGAM,MCAM,pred
1452,P11215,P49238,ITGAM,CX3CR1,pred
1453,P11215,P30273,ITGAM,FCER1G,pred
1454,P11215,Q8IX05,ITGAM,CD302,pred
1455,P11215,P29279,ITGAM,CTGF,pred
1456,P11215,Q9UN75,ITGAM,PCDHA12,pred
1457,P11215,P14543,ITGAM,NID1,pred
1458,P11215,Q9H7M9,ITGAM,VSIR,pred
1459,P11215,P35637,ITGAM,FUS,pred
1460,P11215,P15813,ITGAM,CD1D,pred
1461,P11215,Q9Y679,ITGAM,AUP1,exp;pred
1462,P11215,Q9Y286,ITGAM,SIGLEC7,pred
1463,P11215,P12110,ITGAM,COL6A2,pred
1464,P11215,P19320,ITGAM,VCAM1,pred
1465,P11215,P62834,ITGAM,RAP1A,pred
1466,P11215,Q13571,ITGAM,LAPTM5,pred
1467,P11215,Q5GFL6,ITGAM,VWA2,pred
1468,P11215,Q9H158,ITGAM,PCDHAC1,pred
1469,P11215,Q00013,ITGAM,MPP1,pred
1470,P11215,Q14002,ITGAM,CEACAM7,pred
1471,P11215,Q9NYZ4,ITGAM,SIGLEC8,pred
1472,P11215,Q13443,ITGAM,ADAM9,pred
1473,P11215,P56199,ITGAM,ITGA1,pred
1474,P11215,Q96MS0,ITGAM,ROBO3,pred
1475,P11215,Q9H2X3,ITGAM,CLEC4M,exp;pred
1476,P11215,P55290,ITGAM,CDH13,pred
1477,P11215,P15976,ITGAM,GATA1,pred
1478,P11215,Q9Y5I1,ITGAM,PCDHA11,pred
1479,P11215,P30530,ITGAM,AXL,pred
1480,P11215,Q13422,ITGAM,IKZF1,pred
1481,P11215,P78310,ITGAM,CXADR,pred
1482,P11215,Q29980,ITGAM,MICB,pred
1483,P11215,Q03405,ITGAM,PLAUR,exp;pred
1484,P11215,P42574,ITGAM,CASP3,pred
1485,P11215,Q29983,ITGAM,MICA,pred
1486,P11215,Q495A1,ITGAM,TIGIT,pred
1487,P11215,Q9Y5G7,ITGAM,PCDHGA6,pred
1488,P11215,Q05707,ITGAM,COL14A1,pred
1489,P11215,Q15109,ITGAM,AGER,pred
1490,P11215,Q96P44,ITGAM,COL21A1,pred
1491,P11215,P20036,ITGAM,HLA-DPA1,pred
1492,P11215,Q6PI73,ITGAM,LILRA6,pred
1493,P11215,Q86UX7,ITGAM,FERMT3,pred
1494,P11215,P27918,ITGAM,CFP,pred
1495,P11215,P32942,ITGAM,ICAM3,pred
1496,P11215,Q14315,ITGAM,FLNC,pred
1497,P11215,Q2UY09,ITGAM,COL28A1,pred
1498,P11215,Q5VVH5,ITGAM,IRAK1BP1,pred
1499,P11215,Q6UWL6,ITGAM,KIRREL2,pred
1500,P11215,Q14511,ITGAM,NEDD9,pred
1501,P11215,Q9H0F6,ITGAM,SHARPIN,exp
1502,P11215,P13611,ITGAM,VCAN,pred
1503,P11215,Q8NHJ6,ITGAM,LILRB4,pred
1504,P11215,Q5ZPR3,ITGAM,CD276,pred
1505,P11215,Q9UQC9,ITGAM,CLCA2,pred
1506,P11215,Q14242,ITGAM,SELPLG,pred
1507,P11215,Q9HBG7,ITGAM,LY9,pred
1508,P11215,P17931,ITGAM,LGALS3,exp
1509,P11215,Q14192,ITGAM,FHL2,pred
1510,P11215,P53708,ITGAM,ITGA8,pred
1511,P11215,Q96LC7,ITGAM,SIGLEC10,pred
1512,P11215,P56945,ITGAM,BCAR1,pred
1513,P11215,Q99607,ITGAM,ELF4,pred
1514,P11215,Q96JQ0,ITGAM,DCHS1,pred
1515,P11215,P17301,ITGAM,ITGA2,pred
1516,P11215,Q9BY67,ITGAM,CADM1,pred
1517,P11215,P14778,ITGAM,IL1R1,pred
1518,P11215,Q9Y336,ITGAM,SIGLEC9,pred
1519,P11215,Q96S59,ITGAM,RANBP9,pred
1520,P11215,Q8WXG9,ITGAM,GPR98,pred
1521,P11215,Q502W6,ITGAM,VWA3B,pred
1522,P11215,Q96A28,ITGAM,SLAMF9,pred
1523,P11215,Q02388,ITGAM,COL7A1,pred
1524,P11215,Q9Y5G3,ITGAM,PCDHGB1,pred
1525,P11215,P31146,ITGAM,CORO1A,pred
1526,P11215,Q9UKJ1,ITGAM,PILRA,pred
1527,P11215,P31997,ITGAM,CEACAM8,exp
1528,P11215,Q95460,ITGAM,MR1,pred
1529,P11215,P19838,ITGAM,NFKB1,pred
1530,P11215,P27930,ITGAM,IL1R2,pred
1531,P11215,P55008,ITGAM,AIF1,pred
1532,P11215,Q16581,ITGAM,C3AR1,pred
1533,P11215,Q9NYK1,ITGAM,TLR7,pred
1534,P11215,Q15399,ITGAM,TLR1,pred
1535,P11215,Q9UDY8,ITGAM,MALT1,pred
1536,P11215,P20023,ITGAM,CR2,pred
1537,P11215,Q8IX03,ITGAM,WWC1,pred
1538,P11215,P15291,ITGAM,B4GALT1,pred
1539,P11215,Q9NYQ8,ITGAM,FAT2,pred
1540,P11215,Q9NYQ6,ITGAM,CELSR1,pred
1541,P11215,Q96S86,ITGAM,HAPLN3,pred
1542,P11274,P29376,BCR,LTK,pred
1543,P11274,Q9Y2R2,BCR,PTPN22,pred
1544,P11279,P21580,LAMP1,TNFAIP3,exp
1545,P11309,Q13546,PIM1,RIPK1,pred
1546,P11362,P29376,FGFR1,LTK,pred
1547,P11362,P31994,FGFR1,FCGR2B,pred
1548,P11362,Q13546,FGFR1,RIPK1,pred
1549,P11509,P24855,CYP2A6,DNASE1,pred
1550,P11684,P16410,SCGB1A1,CTLA4,pred
1551,P11801,Q13546,PSKH1,RIPK1,pred
1552,P11836,P20023,MS4A1,CR2,pred
1553,P11912,P16410,CD79A,CTLA4,pred
1554,P11912,Q9Y2R2,CD79A,PTPN22,pred
1555,P11940,Q13546,PABPC1,RIPK1,pred
1556,P12236,P21580,SLC25A6,TNFAIP3,pred
1557,P12236,Q13546,SLC25A6,RIPK1,pred
1558,P12236,Q15116,SLC25A6,PDCD1,exp
1559,P12272,P31994,PTHLH,FCGR2B,pred
1560,P12318,P16410,FCGR2A,CTLA4,pred
1561,P12318,P19878,FCGR2A,NCF2,pred
1562,P12318,P31994,FCGR2A,FCGR2B,exp;pred
1563,P12319,P16410,FCER1A,CTLA4,pred
1564,P12319,P31994,FCER1A,FCGR2B,pred
1565,P12544,Q9NSU2,GZMA,TREX1,pred
1566,P12755,Q13546,SKI,RIPK1,pred
1567,P12931,P16410,SRC,CTLA4,pred
1568,P12931,P21580,SRC,TNFAIP3,exp;pred
1569,P12931,P29376,SRC,LTK,pred
1570,P12931,P31994,SRC,FCGR2B,exp;pred
1571,P12931,Q13546,SRC,RIPK1,pred
1572,P12931,Q14765,SRC,STAT4,pred
1573,P12931,Q15116,SRC,PDCD1,pred
1574,P12931,Q9Y2R2,SRC,PTPN22,pred
1575,P12956,P19878,XRCC6,NCF2,pred
1576,P13164,P20023,IFITM1,CR2,exp
1577,P13232,P16410,IL7,CTLA4,pred
1578,P13489,P21580,RNH1,TNFAIP3,exp
1579,P13498,P19878,CYBA,NCF2,exp;pred
1580,P13500,Q14765,CCL2,STAT4,pred
1581,P13501,P16410,CCL5,CTLA4,pred
1582,P13501,P19878,CCL5,NCF2,pred
