,interactor
801,FAT1
802,SQSTM1
803,IER3
804,LGR4
805,SPTA1
806,CNN1
807,AGO1
808,SSBP2
809,MAPT
810,ADAMTS13
811,TAX1BP1
812,JAK1
813,UBL7
814,CCL5
815,YWHAB
816,TLR5
817,PTK2B
818,INHA
819,DDX5
820,IL7R
821,PML
822,RAB26
823,LMNA
824,COL6A6
825,IL27
826,DEFA6
827,HIST1H2AM
828,MAP3K20
829,PRKAR2A
830,HIST1H4L
831,ZFP36
832,TRIB3
833,BAIAP2
834,MYO1A
835,KRT18
836,RUVBL1
837,SHC1
838,RNH1
839,FRMD6
840,SLC25A23
841,TSC2
842,TJP2
843,IL2
844,PTPRN
845,CD300C
846,KRT85
847,CHST12
848,KIF23
849,COL18A1
850,CCDC138
851,NEURL2
852,MDH1
853,STMN3
854,TMEM89
855,TNFSF15
856,CAV1
857,DRD5
858,KIF22
859,RELB
860,PAG1
861,RAI14
862,IL1RAPL2
863,ING1
864,MAP2K2
865,THSD4
866,LAT
867,HSPA9
868,CD5
869,MASP2
870,RPS5
871,IL1R2
872,ATN1
873,CAD
874,MAGEB18
875,SUGT1
876,LILRB4
877,STK38
878,TRIM38
879,ULK3
880,DSC2
881,TAB1
882,PIK3CG
883,PPP1CC
884,COL14A1
885,TECTA
886,EPHA3
887,C1QC
888,CDK2
889,PRTN3
890,PRKD2
891,TNFRSF21
892,CD28
893,PCDHGB1
894,SMAD6
895,CD52
896,MAPKAPK2
897,ITGB5
898,NFKBIB
899,AGT
900,CD53
901,HNF1A
902,IFIT5
903,RASL10B
904,CSNK1A1
905,PIWIL2
906,FOXO1
907,FCER1A
908,S100A9
909,FCHSD2
910,TMEM223
911,MLF1
912,CDHR5
913,LAMA5
914,TNFRSF25
915,DISC1
916,LGALS9
917,MICA
918,SPSB1
919,ICAM1
920,HIVEP1
921,MAP3K12
922,FCGR1A
923,CDC5L
924,PCDHGA2
925,ITGB2
926,CLK3
927,TSC1
928,VRK1
929,NOLC1
930,BASP1
931,LAMTOR5
932,SPSB4
933,ST3GAL4
934,PLK1
935,CAMK2D
936,TNIP1
937,POP5
938,CXCL2
939,TKT
940,CLPP
941,UBE2N
942,TNFRSF10A
943,ASB2
944,PLAGL2
945,TREML1
946,CDC42EP1
947,NTM
948,USP14
949,CNPY3
950,HFE
951,AUP1
952,BPGM
953,KCTD10
954,ADAMTSL2
955,SSH1
956,CD14
957,ITGA10
958,RARRES3
959,NAP1L1
960,MMRN1
961,RAB23
962,RARS
963,EPHA7
964,ARAF
965,STAT5A
966,ITGAM
967,MAPK8IP2
968,SASH1
969,GP1BA
970,IL12A
971,MAPKAPK3
972,CEACAM7
973,RHOG
974,LRPPRC
975,NLRP2
976,VIL1
977,PPP2R2B
978,KRAS
979,HLA-DMB
980,MAP3K21
981,TICAM2
982,MARK4
983,SLC22A13
984,IFI16
985,HCK
986,GPS1
987,NF1
988,CARD10
989,YOD1
990,RNPS1
991,ADAM17
992,TPX2
993,SUPT6H
994,STK4
995,TP53
996,SPI1
997,CEP131
998,PRKN
999,MAP3K14
1000,EPOR
1001,NPTXR
1002,UBE2D4
1003,DDX3X
1004,GALNT11
1005,PLAUR
1006,PCDHB5
1007,UBQLN2
1008,USP21
1009,PTPN21
1010,ASGR2
1011,RAC1
1012,PRM2
1013,MAPK7
1014,AURKB
1015,DOK3
1016,VNN2
1017,RGS3
1018,IRF6
1019,STAT1
1020,TNFRSF9
1021,SIGIRR
1022,HLA-DQB1
1023,FGFR3
1024,PLG
1025,VEZF1
1026,CDK17
1027,BMPR1A
1028,XPO7
1029,LTBR
1030,RIMBP3C
1031,INTS7
1032,TRPC4AP
1033,TGFB2
1034,MYO1E
1035,RNF5
1036,IMPAD1
1037,AIF1
1038,OPHN1
1039,CFHR5
1040,FCN3
1041,HLA-DPB1
1042,TBC1D24
1043,C3AR1
1044,HIST1H2AK
1045,CD3E
1046,KIR2DL3
1047,PNPLA6
1048,MST1R
1049,MICALL1
1050,RPL10A
1051,RIPK2
1052,THBS1
1053,NONO
1054,NLK
1055,GRK6
1056,MOV10
1057,SH2B1
1058,JAK2
1059,CDK12
1060,TRIM21
1061,ARFIP1
1062,RAB27A
1063,TNFRSF11A
1064,VAV3
1065,ESR1
1066,NMI
1067,PRKD1
1068,CDKN1B
1069,MET
1070,ARHGDIA
1071,SH2D5
1072,PCDHGA6
1073,CXCR2
1074,TNFSF13B
1075,CAMK2G
1076,ASB14
1077,VSIR
1078,USP4
1079,TMX2
1080,NCK2
1081,AICDA
1082,SCRIB
1083,C4BPA
1084,DNAJA1
1085,UBTD2
1086,PTPN7
1087,PSMA1
1088,FH
1089,PIN1
1090,MAIP1
1091,CD83
1092,FLT4
1093,TIGIT
1094,MAP2K6
1095,ITPA
1096,B4GALT5
1097,PRKCE
1098,GJC2
1099,AGAP3
1100,CEBPD
1101,ITGB8
1102,C8B
1103,HLA-DOA
1104,GNB2
1105,IL1RAP
1106,GNAI1
1107,NEDD4
1108,CASP9
1109,LDOC1
1110,NGFR
1111,ITGA2
1112,COPS2
1113,RHBDL1
1114,TUBA8
1115,ADAM10
1116,STUB1
1117,ITCH
1118,TRIB2
1119,ITGA4
1120,TRIM24
1121,EPS8L1
1122,TPO
1123,HIST1H2AE
1124,UBXN2B
1125,TRIO
1126,WEE1
1127,CD69
1128,KIF5B
1129,AKT2
1130,TRAF3IP1
1131,CAPN2
1132,UBB
1133,PTPN14
1134,PTPRN2
1135,CIDEA
1136,CXCL8
1137,LGALS3
1138,ANTXR1
1139,PABPC4
1140,SETBP1
1141,IFI6
1142,TUBB6
1143,SFXN4
1144,RACGAP1
1145,PRDX1
1146,ROBO3
1147,TRIM15
1148,CASP5
1149,SIK2
1150,DUSP10
1151,CD19
1152,GATA1
1153,NOX4
1154,PTPRU
1155,YES1
1156,PTPRH
1157,HSPA8
1158,ERBB4
1159,SOD1
1160,MDM4
1161,UBTF
1162,ITGAD
1163,CTGF
1164,GRM2
1165,IL20RB
1166,CSF2RA
1167,STAT5B
1168,SRSF3
1169,HIST1H4E
1170,CNTNAP2
1171,LILRA2
1172,MAP2K5
1173,DUSP15
1174,KPNA6
1175,LRRD1
1176,CHEK1
1177,CSNK1G2
1178,ATR
1179,CA11
1180,TPD52L1
1181,TAF9
1182,SHARPIN
1183,SUSD2
1184,TNFAIP2
1185,EVI2B
1186,SIRPG
1187,AKR7A2
1188,PIK3R2
1189,VEGFC
1190,MAPK3
1191,RIPK1
1192,NDUFS1
1193,MAPK1
1194,INPPL1
1195,PINK1
1196,FES
1197,CD4
1198,SELP
1199,TBK1
1200,CTSS
1201,KIT
1202,OASL
1203,UBXN2A
1204,TAB2
1205,TAOK3
1206,SLC25A3
1207,PREX1
1208,BRAF
1209,TLR8
1210,MAG
1211,NAV1
1212,USF1
1213,TNFRSF8
1214,C2
1215,STIM2
1216,PSTPIP1
1217,ULK1
1218,ATG5
1219,RHEBL1
1220,LSR
1221,CD81
1222,AKAP13
1223,CXCL3
1224,TRADD
1225,HIPK2
1226,SFXN3
1227,GNLY
1228,RPS6KA3
1229,CHUK
1230,CSK
1231,EIF2AK2
