,id,A Symbol,B Symbol,A UniProt,B UniProt,DB Source
54,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
55,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
56,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
57,Ripk1,BIRC2,RIPK1,329,8737,BIOGRID
58,Ripk1,BIRC3,RIPK1,330,8737,BIOGRID
59,Ripk1,RNF216,RIPK1,54476,8737,BIOGRID
60,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
61,Ripk1,PIDD1,RIPK1,55367,8737,BIOGRID
62,Ripk1,BIRC2,RIPK1,329,8737,BIOGRID
63,Ripk1,TNF,RIPK1,7124,8737,BIOGRID
64,Ripk1,USP21,RIPK1,27005,8737,BIOGRID
65,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
66,Ripk1,PELI1,RIPK1,57162,8737,BIOGRID
67,Ripk1,TNF,RIPK1,7124,8737,BIOGRID
68,Ripk1,TNF,RIPK1,7124,8737,BIOGRID
69,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
70,Ripk1,TRADD,RIPK1,8717,8737,BIOGRID
71,Ripk1,TAB2,RIPK1,23118,8737,BIOGRID
72,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
73,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
74,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
75,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
76,Ripk1,FADD,RIPK1,8772,8737,BIOGRID
77,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
78,Ripk1,OPTN,RIPK1,10133,8737,BIOGRID
79,Ripk1,CYLD,RIPK1,1540,8737,BIOGRID
80,Ripk1,BIRC2,RIPK1,329,8737,BIOGRID
81,Ripk1,BIRC3,RIPK1,330,8737,BIOGRID
82,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
83,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
84,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
85,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
86,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
87,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
88,Ripk1,BIRC2,RIPK1,329,8737,BIOGRID
89,Ripk1,BIRC3,RIPK1,330,8737,BIOGRID
90,Ripk1,XIAP,RIPK1,331,8737,BIOGRID
91,Ripk1,BIRC2,RIPK1,329,8737,BIOGRID
92,Ripk1,BIRC3,RIPK1,330,8737,BIOGRID
93,Ripk1,BIRC2,RIPK1,329,8737,BIOGRID
94,Ripk1,BIRC3,RIPK1,330,8737,BIOGRID
95,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
96,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
97,Ripk1,TNF,RIPK1,7124,8737,BIOGRID
98,Ripk1,KHDRBS1,RIPK1,10657,8737,BIOGRID
99,Ripk1,FADD,RIPK1,8772,8737,BIOGRID
100,Ripk1,KHDRBS1,RIPK1,10657,8737,BIOGRID
101,Ripk1,TNF,RIPK1,7124,8737,BIOGRID
102,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
103,Ripk1,RIPK3,RIPK1,11035,8737,BIOGRID
104,Ripk1,USP2,RIPK1,9099,8737,BIOGRID
105,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
106,Ripk1,USP2,RIPK1,9099,8737,BIOGRID
107,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
108,Ripk1,TNF,RIPK1,7124,8737,BIOGRID
109,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
110,Ripk1,TNFRSF25,RIPK1,8718,8737,BIOGRID
111,Ripk1,NOD2,RIPK1,64127,8737,BIOGRID
112,Ripk1,RIPK2,RIPK1,8767,8737,BIOGRID
113,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
114,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
115,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
116,Ripk1,TAB2,RIPK1,23118,8737,BIOGRID
117,Ripk1,MAP3K7,RIPK1,6885,8737,BIOGRID
118,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
119,Ripk1,RBCK1,RIPK1,10616,8737,BIOGRID
120,Ripk1,USP4,RIPK1,7375,8737,BIOGRID
121,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
122,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
123,Ripk1,TLR3,RIPK1,7098,8737,BIOGRID
124,Ripk1,FADD,RIPK1,8772,8737,BIOGRID
125,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
126,Ripk1,CYLD,RIPK1,1540,8737,BIOGRID
127,Ripk1,CCDC50,RIPK1,152137,8737,BIOGRID
128,Ripk1,UBE2N,RIPK1,7334,8737,BIOGRID
129,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
130,Ripk1,FADD,RIPK1,8772,8737,BIOGRID
131,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
132,Ripk1,MAP3K3,RIPK1,4215,8737,BIOGRID
133,Ripk1,TRADD,RIPK1,8717,8737,BIOGRID
134,Ripk1,TNFRSF1B,RIPK1,7133,8737,BIOGRID
135,Ripk1,TRAF1,RIPK1,7185,8737,BIOGRID
136,Ripk1,ANXA1,RIPK1,301,8737,BIOGRID
137,Ripk1,ANXA1,RIPK1,301,8737,BIOGRID
138,Ripk1,CHUK,RIPK1,1147,8737,BIOGRID
139,Ripk1,LRRK2,RIPK1,120892,8737,BIOGRID
140,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
141,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
142,Ripk1,TNF,RIPK1,7124,8737,BIOGRID
143,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
144,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
145,Ripk1,FADD,RIPK1,8772,8737,BIOGRID
146,Ripk1,TNFSF10,RIPK1,8743,8737,BIOGRID
147,Ripk1,TNFRSF10B,RIPK1,8795,8737,BIOGRID
148,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
149,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
150,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
151,Ripk1,OPTN,RIPK1,10133,8737,BIOGRID
152,Ripk1,OPTN,RIPK1,10133,8737,BIOGRID
153,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
154,Ripk1,USP4,RIPK1,7375,8737,BIOGRID
155,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
156,Ripk1,RIPK3,RIPK1,11035,8737,BIOGRID
157,Ripk1,FADD,RIPK1,8772,8737,BIOGRID
158,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
159,Ripk1,CFLAR,RIPK1,8837,8737,BIOGRID
160,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
161,Ripk1,HSP90AA1,RIPK1,3320,8737,BIOGRID
162,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
163,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
164,Ripk1,OPTN,RIPK1,10133,8737,BIOGRID
165,Ripk1,TNF,RIPK1,7124,8737,BIOGRID
166,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
167,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
168,Ripk1,NUMBL,RIPK1,9253,8737,BIOGRID
169,Ripk1,BIRC3,RIPK1,330,8737,BIOGRID
170,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
171,Ripk1,BIRC2,RIPK1,329,8737,BIOGRID
172,Ripk1,FADD,RIPK1,8772,8737,BIOGRID
173,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
174,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
175,Ripk1,TNF,RIPK1,7124,8737,BIOGRID
176,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
177,Ripk1,TRADD,RIPK1,8717,8737,BIOGRID
178,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
179,Ripk1,YOD1,RIPK1,55432,8737,BIOGRID
180,Ripk1,OTUD1,RIPK1,220213,8737,BIOGRID
181,Ripk1,TNF,RIPK1,7124,8737,BIOGRID
182,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
183,Ripk1,RFFL,RIPK1,117584,8737,BIOGRID
184,Ripk1,RFFL,RIPK1,117584,8737,BIOGRID
185,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
186,Ripk1,TRAF1,RIPK1,7185,8737,BIOGRID
187,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
188,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
189,Ripk1,BIRC3,RIPK1,330,8737,BIOGRID
190,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
191,Ripk1,CFLAR,RIPK1,8837,8737,BIOGRID
192,Ripk1,PYCARD,RIPK1,29108,8737,BIOGRID
193,Ripk1,FADD,RIPK1,8772,8737,BIOGRID
194,Ripk1,MLF1,RIPK1,4291,8737,BIOGRID
195,Ripk1,NTAN1,RIPK1,123803,8737,BIOGRID
196,Ripk1,FGL1,RIPK1,2267,8737,BIOGRID
197,Ripk1,HERC2,RIPK1,8924,8737,BIOGRID
198,Ripk1,AP1M2,RIPK1,10053,8737,BIOGRID
199,Ripk1,UBC,RIPK1,7316,8737,BIOGRID
200,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
201,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
202,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
203,Ripk1,XPO1,RIPK1,7514,8737,BIOGRID
204,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
205,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
206,Ripk1,TICAM1,RIPK1,148022,8737,BIOGRID
207,Ripk1,EGLN3,RIPK1,112399,8737,BIOGRID
208,Ripk1,FADD,RIPK1,8772,8737,BIOGRID
209,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
210,Ripk1,TNF,RIPK1,7124,8737,BIOGRID
211,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
212,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
213,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
214,Ripk1,TNF,RIPK1,7124,8737,BIOGRID
215,Ripk1,RNF31,RIPK1,55072,8737,BIOGRID
216,Ripk1,RIPK3,RIPK1,11035,8737,BIOGRID
217,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
218,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
219,Ripk1,RIPK3,RIPK1,11035,8737,BIOGRID
220,Ripk1,FADD,RIPK1,8772,8737,BIOGRID
221,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
222,Ripk1,USP2,RIPK1,9099,8737,BIOGRID
223,Ripk1,ERN1,RIPK1,2081,8737,BIOGRID
224,Ripk1,CFLAR,RIPK1,8837,8737,BIOGRID
225,Ripk1,RNF216,RIPK1,54476,8737,BIOGRID
226,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
227,Ripk1,TLR3,RIPK1,7098,8737,BIOGRID
228,Ripk1,TRIM27,RIPK1,5987,8737,BIOGRID
229,Ripk1,RIPK3,RIPK1,11035,8737,BIOGRID
230,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
231,Ripk1,OPTN,RIPK1,10133,8737,BIOGRID
232,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
233,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
234,Ripk1,TNF,RIPK1,7124,8737,BIOGRID
235,Ripk1,FADD,RIPK1,8772,8737,BIOGRID
236,Ripk1,MLKL,RIPK1,197259,8737,BIOGRID
237,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
238,Ripk1,NTAN1,RIPK1,123803,8737,BIOGRID
239,Ripk1,ATG7,RIPK1,10533,8737,BIOGRID
240,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
241,Ripk1,GPX7,RIPK1,2882,8737,BIOGRID
242,Ripk1,THSD4,RIPK1,79875,8737,BIOGRID
243,Ripk1,MLF1,RIPK1,4291,8737,BIOGRID
244,Ripk1,TNF,RIPK1,7124,8737,BIOGRID
245,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
246,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
247,Ripk1,BIRC2,RIPK1,329,8737,BIOGRID
248,Ripk1,BIRC2,RIPK1,329,8737,BIOGRID
249,Ripk1,IKBKG,RIPK1,8517,8737,BIOGRID
250,Ripk1,EGLN3,RIPK1,112399,8737,BIOGRID
251,Ncf2,NCF1,NCF2,653361,4688,BIOGRID
252,Ncf2,NCF1,NCF2,653361,4688,BIOGRID
253,Ncf2,PRDX6,NCF2,9588,4688,BIOGRID
254,Ncf2,NCF1,NCF2,653361,4688,BIOGRID
255,Ncf2,NCF1,NCF2,653361,4688,BIOGRID
256,Ncf2,NCF4,NCF2,4689,4688,BIOGRID
257,Ncf2,SYTL1,NCF2,84958,4688,BIOGRID
258,Ncf2,PRKDC,NCF2,5591,4688,BIOGRID
259,Ncf2,NCF1,NCF2,653361,4688,BIOGRID
260,Ncf2,NCF1,NCF2,653361,4688,BIOGRID
261,Ncf2,NCF4,NCF2,4689,4688,BIOGRID
262,Ncf2,NCF4,NCF2,4689,4688,BIOGRID
263,Ncf2,GNAI2,NCF2,2771,4688,BIOGRID
264,Ncf2,NCF1,NCF2,653361,4688,BIOGRID
265,Ncf2,GNAI1,NCF2,2770,4688,BIOGRID
266,Ncf2,S100A8,NCF2,6279,4688,BIOGRID
267,Ncf2,S100A9,NCF2,6280,4688,BIOGRID
268,Ncf2,GOLGA2,NCF2,2801,4688,BIOGRID
269,Ncf2,KIFAP3,NCF2,22920,4688,BIOGRID
270,Ncf2,PLA2G4A,NCF2,5321,4688,BIOGRID
271,Ncf2,PLA2G4A,NCF2,5321,4688,BIOGRID
272,Ncf2,TARDBP,NCF2,23435,4688,BIOGRID
273,Trim21,TRIM21,IRF5,6737,3663,BIOGRID
274,Trim21,TRIM21,IRF5,6737,3663,BIOGRID
275,Tnfaip3,IKBKG,TNFAIP3,8517,7128,BIOGRID
276,Tnfaip3,TAX1BP1,TNFAIP3,8887,7128,BIOGRID
277,Tnfaip3,IKBKB,TNFAIP3,3551,7128,BIOGRID
278,Tnfaip3,TRAF6,TNFAIP3,7189,7128,BIOGRID
279,Tnfaip3,TRAF1,TNFAIP3,7185,7128,BIOGRID
280,Tnfaip3,TRAF6,TNFAIP3,7189,7128,BIOGRID
281,Tnfaip3,RNF11,TNFAIP3,26994,7128,BIOGRID
282,Tnfaip3,CASP8,TNFAIP3,841,7128,BIOGRID
283,Tnfaip3,TRAF6,TNFAIP3,7189,7128,BIOGRID
284,Tnfaip3,RARRES3,TNFAIP3,5920,7128,BIOGRID
285,Tnfaip3,YWHAG,TNFAIP3,7532,7128,BIOGRID
286,Tnfaip3,YWHAZ,TNFAIP3,7534,7128,BIOGRID
287,Tnfaip3,BECN1,TNFAIP3,8678,7128,BIOGRID
288,Tnfaip3,IRAK1,TNFAIP3,3654,7128,BIOGRID
289,Tnfaip3,IRAK2,TNFAIP3,3656,7128,BIOGRID
290,Tnfaip3,TRAF6,TNFAIP3,7189,7128,BIOGRID
291,Tnfaip3,IKBKB,TNFAIP3,3551,7128,BIOGRID
292,Tnfaip3,IRF7,TNFAIP3,3665,7128,BIOGRID
293,Tnfaip3,TNF,TNFAIP3,7124,7128,BIOGRID
294,Tnfaip3,IKBKG,TNFAIP3,8517,7128,BIOGRID
295,Tnfaip3,IKBKG,TNFAIP3,8517,7128,BIOGRID
296,Tnfaip3,TNFRSF1A,TNFAIP3,7132,7128,BIOGRID
297,Tnfaip3,FADD,TNFAIP3,8772,7128,BIOGRID
298,Tnfaip3,MAP3K5,TNFAIP3,4217,7128,BIOGRID
299,Tnfaip3,IKBKE,TNFAIP3,9641,7128,BIOGRID
300,Tnfaip3,TBK1,TNFAIP3,29110,7128,BIOGRID
301,Tnfaip3,IKBKE,TNFAIP3,9641,7128,BIOGRID
302,Tnfaip3,TNIP2,TNFAIP3,79155,7128,BIOGRID
303,Tnfaip3,LAPTM5,TNFAIP3,7805,7128,BIOGRID
304,Tnfaip3,LAPTM5,TNFAIP3,7805,7128,BIOGRID
305,Tnfaip3,LAPTM5,TNFAIP3,7805,7128,BIOGRID
306,Tnfaip3,UBC,TNFAIP3,7316,7128,BIOGRID
307,Tnfaip3,RNF11,TNFAIP3,26994,7128,BIOGRID
308,Tnfaip3,TICAM1,TNFAIP3,148022,7128,BIOGRID
309,Tnfaip3,CCDC50,TNFAIP3,152137,7128,BIOGRID
310,Tnfaip3,TNF,TNFAIP3,7124,7128,BIOGRID
311,Tnfaip3,RNF31,TNFAIP3,55072,7128,BIOGRID
312,Tnfaip3,IKBKG,TNFAIP3,8517,7128,BIOGRID
313,Tnfaip3,SHARPIN,TNFAIP3,81858,7128,BIOGRID
314,Tnfaip3,TNF,TNFAIP3,7124,7128,BIOGRID
315,Tnfaip3,TNFSF10,TNFAIP3,8743,7128,BIOGRID
316,Tnfaip3,TNFRSF10B,TNFAIP3,8795,7128,BIOGRID
317,Tnfaip3,HSP90AA1,TNFAIP3,3320,7128,BIOGRID
318,Tnfaip3,TP53,TNFAIP3,7157,7128,BIOGRID
319,Tnfaip3,LAPTM5,TNFAIP3,7805,7128,BIOGRID
320,Tnfaip3,RNF11,TNFAIP3,26994,7128,BIOGRID
321,Tnfaip3,AXIN1,TNFAIP3,8312,7128,BIOGRID
322,Tnfaip3,IKBKG,TNFAIP3,8517,7128,BIOGRID
323,Tnfaip3,GIT2,TNFAIP3,9815,7128,BIOGRID
324,Tnfaip3,BIRC2,TNFAIP3,329,7128,BIOGRID
325,Tnfaip3,TP53,TNFAIP3,7157,7128,BIOGRID
326,Tnfaip3,MALT1,TNFAIP3,10892,7128,BIOGRID
327,Tnfaip3,ELAVL1,TNFAIP3,1994,7128,BIOGRID
328,Tnfaip3,RNF114,TNFAIP3,55905,7128,BIOGRID
329,Tnfaip3,TRIM23,TNFAIP3,373,7128,BIOGRID
330,Tnfaip3,NXF1,TNFAIP3,10482,7128,BIOGRID
331,Tnfaip3,TRAF6,TNFAIP3,7189,7128,BIOGRID
332,Tnfaip3,TNF,TNFAIP3,7124,7128,BIOGRID
333,Tnfaip3,CASP8,TNFAIP3,841,7128,BIOGRID
334,Tnfaip3,FADD,TNFAIP3,8772,7128,BIOGRID
335,Tnfaip3,TRAF1,TNFAIP3,7185,7128,BIOGRID
336,Tnfaip3,TRAF1,TNFAIP3,7185,7128,BIOGRID
337,Tnfaip3,IKBKG,TNFAIP3,8517,7128,BIOGRID
338,Tnfaip3,TNFRSF1A,TNFAIP3,7132,7128,BIOGRID
339,Tnfaip3,TNF,TNFAIP3,7124,7128,BIOGRID
340,Tnfaip3,NOD2,TNFAIP3,64127,7128,BIOGRID
341,Tnfaip3,TNFRSF1A,TNFAIP3,7132,7128,BIOGRID
342,Tnfaip3,TRAF6,TNFAIP3,7189,7128,BIOGRID
343,Tnfaip3,NFKB1,TNFAIP3,4790,7128,BIOGRID
344,Sqstm1,SQSTM1,RIPK1,8878,8737,BIOGRID
345,Sqstm1,SQSTM1,RIPK1,8878,8737,BIOGRID
346,Irf5,IRF3,IRF5,3661,3663,BIOGRID
347,Irf5,NCOR1,IRF5,9611,3663,BIOGRID
348,Irf5,HDAC1,IRF5,3065,3663,BIOGRID
349,Irf5,SIN3A,IRF5,25942,3663,BIOGRID
350,Irf5,NCOR2,IRF5,9612,3663,BIOGRID
351,Irf5,EP300,IRF5,2033,3663,BIOGRID
352,Irf5,CREBBP,IRF5,1387,3663,BIOGRID
353,Irf5,KAT2B,IRF5,8850,3663,BIOGRID
354,Irf5,ALPI,IRF5,248,3663,BIOGRID
355,Irf5,CHUK,IRF5,1147,3663,BIOGRID
356,Irf5,IRF6,IRF5,3664,3663,BIOGRID
357,Irf5,MYD88,IRF5,4615,3663,BIOGRID
358,Irf5,MYD88,IRF5,4615,3663,BIOGRID
359,Irf5,TRAF6,IRF5,7189,3663,BIOGRID
360,Irf5,TRIM21,IRF5,6737,3663,BIOGRID
361,Irf5,TRIM21,IRF5,6737,3663,BIOGRID
362,Irf5,CEP152,IRF5,22995,3663,BIOGRID
363,Cyld,CYLD,RIPK1,1540,8737,BIOGRID
364,Cyld,CYLD,RIPK1,1540,8737,BIOGRID
365,Ubc,UBC,TNFAIP3,7316,7128,BIOGRID
366,Ubc,UBC,RIPK1,7316,8737,BIOGRID
367,Fadd,FADD,RIPK1,8772,8737,BIOGRID
368,Fadd,FADD,RIPK1,8772,8737,BIOGRID
369,Fadd,FADD,TNFAIP3,8772,7128,BIOGRID
370,Fadd,FADD,RIPK1,8772,8737,BIOGRID
371,Fadd,FADD,RIPK1,8772,8737,BIOGRID
372,Fadd,FADD,RIPK1,8772,8737,BIOGRID
373,Fadd,FADD,RIPK1,8772,8737,BIOGRID
374,Fadd,FADD,RIPK1,8772,8737,BIOGRID
375,Fadd,FADD,RIPK1,8772,8737,BIOGRID
376,Fadd,FADD,RIPK1,8772,8737,BIOGRID
377,Fadd,FADD,TNFAIP3,8772,7128,BIOGRID
378,Fadd,FADD,RIPK1,8772,8737,BIOGRID
379,Fadd,FADD,RIPK1,8772,8737,BIOGRID
380,Tnf,TNF,RIPK1,7124,8737,BIOGRID
381,Tnf,TNF,RIPK1,7124,8737,BIOGRID
382,Tnf,TNF,RIPK1,7124,8737,BIOGRID
383,Tnf,TNF,RIPK1,7124,8737,BIOGRID
384,Tnf,TNF,RIPK1,7124,8737,BIOGRID
385,Tnf,TNF,TNFAIP3,7124,7128,BIOGRID
386,Tnf,TNF,RIPK1,7124,8737,BIOGRID
387,Tnf,TNF,RIPK1,7124,8737,BIOGRID
388,Tnf,TNF,TNFAIP3,7124,7128,BIOGRID
389,Tnf,TNF,TNFAIP3,7124,7128,BIOGRID
390,Tnf,TNF,RIPK1,7124,8737,BIOGRID
391,Tnf,TNF,RIPK1,7124,8737,BIOGRID
392,Tnf,TNF,RIPK1,7124,8737,BIOGRID
393,Tnf,TNF,TNFAIP3,7124,7128,BIOGRID
394,Tnf,TNF,RIPK1,7124,8737,BIOGRID
395,Tnf,TNF,RIPK1,7124,8737,BIOGRID
396,Tnf,TNF,TNFAIP3,7124,7128,BIOGRID
397,Tnf,TNF,RIPK1,7124,8737,BIOGRID
398,Tnf,TNF,RIPK1,7124,8737,BIOGRID
399,Ube2n,UBE2N,RIPK1,7334,8737,BIOGRID
400,Rnf11,RNF11,TNFAIP3,26994,7128,BIOGRID
401,Rnf11,RNF11,RIPK1,26994,8737,BIOGRID
402,Rnf11,RNF11,TNFAIP3,26994,7128,BIOGRID
403,Rnf11,RNF11,TNFAIP3,26994,7128,BIOGRID
404,Khdrbs1,KHDRBS1,RIPK1,10657,8737,BIOGRID
405,Khdrbs1,KHDRBS1,RIPK1,10657,8737,BIOGRID
406,Irak1,IRAK1,TNFAIP3,3654,7128,BIOGRID
407,Traf6,TRAF6,TNFAIP3,7189,7128,BIOGRID
408,Traf6,TRAF6,TNFAIP3,7189,7128,BIOGRID
409,Traf6,TRAF6,TNFAIP3,7189,7128,BIOGRID
410,Traf6,TRAF6,TNFAIP3,7189,7128,BIOGRID
411,Traf6,TRAF6,IRF5,7189,3663,BIOGRID
412,Traf6,TRAF6,TNFAIP3,7189,7128,BIOGRID
413,Traf6,TRAF6,TNFAIP3,7189,7128,BIOGRID
414,xpo1,XPO1,RIPK1,7514,8737,BIOGRID
415,Tax1bp1,TAX1BP1,TNFAIP3,8887,7128,BIOGRID
416,Tnfrsf1a,TNFRSF1A,RIPK1,7132,8737,BIOGRID
417,Tnfrsf1a,TNFRSF1A,RIPK1,7132,8737,BIOGRID
418,Tnfrsf1a,TNFRSF1A,RIPK1,7132,8737,BIOGRID
419,Tnfrsf1a,TNFRSF1A,RIPK1,7132,8737,BIOGRID
