"UniProt1","UniProt2","symbol1","symbol2","evidence type"
"P08648","P11215","ITGA5","ITGAM","pred"
"P08670","P21580","VIM","TNFAIP3","pred"
"P08670","Q13546","VIM","RIPK1","pred"
"P08754","P19878","GNAI3","NCF2","exp"
"P08754","Q13546","GNAI3","RIPK1","pred"
"P08887","P0C0L5","IL6R","C4B;C4B_2","pred"
"P08887","P11215","IL6R","ITGAM","pred"
"P08922","P29376","ROS1","LTK","pred"
"P08962","P11215","CD63","ITGAM","pred"
"P08F94","Q15116","PKHD1","PDCD1","pred"
"P09172","P11215","DBH","ITGAM","pred"
"P09326","P11215","CD48","ITGAM","pred"
"P09326","P16410","CD48","CTLA4","pred"
"P09326","P31994","CD48","FCGR2B","pred"
"P09326","Q9Y2R2","CD48","PTPN22","pred"
"P09327","P24855","VIL1","DNASE1","pred"
"P09327","Q13546","VIL1","RIPK1","pred"
"P09341","P11215","CXCL1","ITGAM","pred"
"P09341","P19878","CXCL1","NCF2","pred"
"P09486","P23510","SPARC","TNFSF4","pred"
"P09493","Q13546","TPM1","RIPK1","pred"
"P09564","P11215","CD7","ITGAM","pred"
"P09564","P16410","CD7","CTLA4","pred"
"P09564","P29376","CD7","LTK","pred"
"P09564","P31994","CD7","FCGR2B","pred"
"P09619","P11215","PDGFRB","ITGAM","pred"
"P09619","P16410","PDGFRB","CTLA4","pred"
"P09619","P29376","PDGFRB","LTK","pred"
"P09619","P31994","PDGFRB","FCGR2B","pred"
"P09619","Q13546","PDGFRB","RIPK1","pred"
"P09619","Q9Y2R2","PDGFRB","PTPN22","exp;pred"
"P09651","Q13546","HNRNPA1","RIPK1","pred"
"P09693","Q9Y2R2","CD3G","PTPN22","pred"
"P09769","P19878","FGR","NCF2","pred"
"P09769","P29376","FGR","LTK","pred"
"P09769","Q14765","FGR","STAT4","pred"
"P09871","P0C0L4","C1S","C4A","exp;pred"
"P09871","P0C0L5","C1S","C4B;C4B_2","exp;pred"
"P09871","P19878","C1S","NCF2","pred"
"P09874","P0C0L5","PARP1","C4B;C4B_2","pred"
"P09874","P21580","PARP1","TNFAIP3","pred"
"P09874","Q13546","PARP1","RIPK1","pred"
"P09874","Q13609","PARP1","DNASE1L3","pred"
"P09912","Q13568","IFI6","IRF5","pred"
"P09914","Q13568","IFIT1","IRF5","pred"
"P09917","P11215","ALOX5","ITGAM","pred"
"P09923","P24855","ALPI","DNASE1","pred"
"P09923","Q13568","ALPI","IRF5","exp"
"P0C0L4","P0C0L5","C4A","C4B;C4B_2","pred"
"P0C0L4","P98066","C4A","TNFAIP6","pred"
"P0C0L4","P20023","C4A","CR2","pred"
"P0C0L4","Q16625","C4A","OCLN","exp"
"P0C0L4","P23771","C4A","GATA3","exp"
"P0C0L4","Q9P296","C4A","C5AR2","exp"
"P0C0L4","P16581","C4A","SELE","pred"
"P0C0L4","Q05315","C4A","CLC","pred"
"P0C0L4","Q86XK7","C4A","VSIG1","exp"
"P0C0L4","P10643","C4A","C7","pred"
"P0C0L4","P15151","C4A","PVR","exp"
"P0C0L4","Q9UHV8","C4A","LGALS13","pred"
"P0C0L4","Q6UVK1","C4A","CSPG4","pred"
"P0C0L4","P39900","C4A","MMP12","pred"
"P0C0L4","Q16581","C4A","C3AR1","exp"
"P0C0L4","Q03591","C4A","CFHR1","pred"
"P0C0L4","P11226","C4A","MBL2","pred"
"P0C0L4","Q8N9F7","C4A","GDPD1","exp"
"P0C0L4","Q9ULB1","C4A","NRXN1","pred"
"P0C0L4","P26022","C4A","PTX3","pred"
"P0C0L4","Q96L92","C4A","SNX27","exp"
"P0C0L4","P13501","C4A","CCL5","exp"
"P0C0L4","Q14807","C4A","KIF22","exp"
"P0C0L4","P13671","C4A","C6","pred"
"P0C0L4","P25054","C4A","APC","exp"
"P0C0L4","P17927","C4A","CR1","exp;pred"
"P0C0L4","P15529","C4A","CD46","pred"
"P0C0L4","Q04726","C4A","TLE3","exp"
"P0C0L4","P20851","C4A","C4BPB","pred"
"P0C0L4","Q6P995","C4A","FAM171B","exp"
"P0C0L4","P14151","C4A","SELL","pred"
"P0C0L4","Q9BXR6","C4A","CFHR5","pred"
"P0C0L4","Q16594","C4A","TAF9","exp"
"P0C0L4","P23327","C4A","HRC","pred"
"P0C0L4","P46059","C4A","SLC15A1","exp"
"P0C0L4","Q9NZP8","C4A","C1RL","pred"
"P0C0L4","Q9UHF7","C4A","TRPS1","exp"
"P0C0L4","Q6ISB3","C4A","GRHL2","exp"
"P0C0L4","Q9NPA2","C4A","MMP25","pred"
"P0C0L4","P48552","C4A","NRIP1","exp"
"P0C0L4","P48740","C4A","MASP1","pred"
"P0C0L4","P11279","C4A","LAMP1","exp"
"P0C0L4","Q9Y4C0","C4A","NRXN3","pred"
"P0C0L4","P49736","C4A","MCM2","exp"
"P0C0L4","P16109","C4A","SELP","pred"
"P0C0L4","Q01814","C4A","ATP2B2","exp"
"P0C0L4","P27361","C4A","MAPK3","pred"
"P0C0L5","Q99650","C4B;C4B_2","OSMR","pred"
"P0C0L5","Q9BXR6","C4B;C4B_2","CFHR5","pred"
"P0C0L5","P13726","C4B;C4B_2","F3","pred"
"P0C0L5","Q92692","C4B;C4B_2","NECTIN2","pred"
"P0C0L5","Q9UGM3","C4B;C4B_2","DMBT1","pred"
"P0C0L5","Q9HBG7","C4B;C4B_2","LY9","pred"
"P0C0L5","Q29980","C4B;C4B_2","MICB","pred"
"P0C0L5","P25942","C4B;C4B_2","CD40","pred"
"P0C0L5","P13501","C4B;C4B_2","CCL5","pred"
"P0C0L5","P29320","C4B;C4B_2","EPHA3","pred"
"P0C0L5","P61769","C4B;C4B_2","B2M","pred"
"P0C0L5","Q9UDY8","C4B;C4B_2","MALT1","pred"
"P0C0L5","P19320","C4B;C4B_2","VCAM1","pred"
"P0C0L5","P20701","C4B;C4B_2","ITGAL","pred"
"P0C0L5","Q14807","C4B;C4B_2","KIF22","exp"
"P0C0L5","P43405","C4B;C4B_2","SYK","pred"
"P0C0L5","Q86UP6","C4B;C4B_2","CUZD1","pred"
"P0C0L5","Q9BY67","C4B;C4B_2","CADM1","pred"
"P0C0L5","Q6UWB1","C4B;C4B_2","IL27RA","pred"
"P0C0L5","Q01151","C4B;C4B_2","CD83","pred"
"P0C0L5","Q9NZC2","C4B;C4B_2","TREM2","pred"
"P0C0L5","Q9NP99","C4B;C4B_2","TREM1","pred"
"P0C0L5","Q86VB7","C4B;C4B_2","CD163","pred"
"P0C0L5","P40763","C4B;C4B_2","STAT3","pred"
"P0C0L5","P13500","C4B;C4B_2","CCL2","pred"
"P0C0L5","Q9UH65","C4B;C4B_2","SWAP70","pred"
"P0C0L5","P29122","C4B;C4B_2","PCSK6","pred"
"P0C0L5","P43403","C4B;C4B_2","ZAP70","pred"
"P0C0L5","P48740","C4B;C4B_2","MASP1","pred"
"P0C0L5","Q6UXL0","C4B;C4B_2","IL20RB","pred"
"P0C0L5","P50281","C4B;C4B_2","MMP14","pred"
"P0C0L5","P49736","C4B;C4B_2","MCM2","exp"
"P0C0L5","Q29983","C4B;C4B_2","MICA","pred"
"P0C0L5","P15529","C4B;C4B_2","CD46","exp;pred"
"P0C0L5","P29965","C4B;C4B_2","CD40LG","pred"
"P0C0L5","P32519","C4B;C4B_2","ELF1","pred"
"P0C0L5","P10643","C4B;C4B_2","C7","pred"
"P0C0L5","Q14213","C4B;C4B_2","EBI3","pred"
"P0C0L5","Q9UKR3","C4B;C4B_2","KLK13","pred"
"P0C0L5","Q16653","C4B;C4B_2","MOG","pred"
"P0C0L5","Q8WV28","C4B;C4B_2","BLNK","pred"
"P0C0L5","P35030","C4B;C4B_2","PRSS3","pred"
"P0C0L5","P26842","C4B;C4B_2","CD27","pred"
"P0C0L5","P24821","C4B;C4B_2","TNC","pred"
"P0C0L5","Q9NZP8","C4B;C4B_2","C1RL","pred"
"P0C0L5","Q04206","C4B;C4B_2","RELA","pred"
"P0C0L5","Q8NBP7","C4B;C4B_2","PCSK9","pred"
"P0C0L5","Q96EP0","C4B;C4B_2","RNF31","pred"
"P0C0L5","Q9Y5Q5","C4B;C4B_2","CORIN","pred"
"P0C0L5","P15151","C4B;C4B_2","PVR","pred"
"P0C0L5","Q9Y279","C4B;C4B_2","VSIG4","pred"
"P0C0L5","P56945","C4B;C4B_2","BCAR1","pred"
"P0C0L5","Q9Y6Q6","C4B;C4B_2","TNFRSF11A","pred"
"P0C0L5","Q9NQ25","C4B;C4B_2","SLAMF7","pred"
"P0C0L5","P20023","C4B;C4B_2","CR2","pred"
"P0CG47","P21580","UBB","TNFAIP3","exp"
"P0CG48","P21580","UBC","TNFAIP3","exp"
"P0CG48","Q13546","UBC","RIPK1","exp"
"P10124","P19878","SRGN","NCF2","pred"
"P10124","P21580","SRGN","TNFAIP3","pred"
"P10145","P11215","CXCL8","ITGAM","pred"
"P10145","P21580","CXCL8","TNFAIP3","pred"
"P10145","Q13568","CXCL8","IRF5","pred"
"P10316","P16410","HLA-A","CTLA4","pred"
"P10319","P16410","HLA-B","CTLA4","pred"
"P10321","P31994","HLA-C","FCGR2B","pred"
"P10398","P21580","ARAF","TNFAIP3","pred"
"P10398","P29376","ARAF","LTK","pred"
"P10398","Q13546","ARAF","RIPK1","pred"
"P10415","Q13546","BCL2","RIPK1","pred"
"P10586","P11215","PTPRF","ITGAM","pred"
"P10586","Q9Y2R2","PTPRF","PTPN22","pred"
"P10636","P21580","MAPT","TNFAIP3","pred"
"P10636","Q13546","MAPT","RIPK1","pred"
"P10643","P20023","C7","CR2","pred"
"P10721","P16410","KIT","CTLA4","pred"
"P10721","P29376","KIT","LTK","pred"
"P10721","P31994","KIT","FCGR2B","pred"
"P10721","Q13546","KIT","RIPK1","pred"
"P10721","Q14765","KIT","STAT4","pred"
"P10721","Q9Y2R2","KIT","PTPN22","pred"
"P10747","P11215","CD28","ITGAM","pred"
"P10747","P16410","CD28","CTLA4","pred"
"P10747","P29376","CD28","LTK","pred"
"P10747","Q15116","CD28","PDCD1","pred"
"P10768","Q9Y2R2","ESD","PTPN22","pred"
"P10809","P21580","HSPD1","TNFAIP3","pred"
"P10809","Q13546","HSPD1","RIPK1","pred"
"P10912","P29376","GHR","LTK","pred"
"P10912","P31994","GHR","FCGR2B","pred"
"P10912","Q9Y2R2","GHR","PTPN22","exp;pred"
"P10914","P19878","IRF1","NCF2","pred"
"P10914","P21580","IRF1","TNFAIP3","pred"
"P10914","Q13546","IRF1","RIPK1","pred"
"P10914","Q13568","IRF1","IRF5","exp;pred"
"P10914","Q14765","IRF1","STAT4","pred"
"P10966","P11215","CD8B","ITGAM","pred"
"P10966","P16410","CD8B","CTLA4","pred"
"P10966","P23510","CD8B","TNFSF4","pred"
"P10966","P31994","CD8B","FCGR2B","pred"
"P11021","P21580","HSPA5","TNFAIP3","pred"
"P11021","Q13546","HSPA5","RIPK1","exp;pred"
"P11021","Q9Y2R2","HSPA5","PTPN22","pred"
"P11117","Q15116","ACP2","PDCD1","exp"
"P11142","P19878","HSPA8","NCF2","exp"
"P11142","P21580","HSPA8","TNFAIP3","pred"
"P11142","Q13546","HSPA8","RIPK1","exp;pred"
"P11142","Q13568","HSPA8","IRF5","pred"
"P11215","Q99062","ITGAM","CSF3R","pred"
"P11215","P20702","ITGAM","ITGAX","pred"
"P11215","Q9NPG4","ITGAM","PCDH12","pred"
"P11215","P40200","ITGAM","CD96","pred"
"P11215","Q9UIB8","ITGAM","CD84","pred"
"P11215","Q14517","ITGAM","FAT1","pred"
"P11215","P49767","ITGAM","VEGFC","pred"
"P11215","Q13797","ITGAM","ITGA9","pred"
"P11215","Q92956","ITGAM","TNFRSF14","pred"
"P11215","Q9NZQ7","ITGAM","CD274","pred"
"P11215","P18084","ITGAM","ITGB5","pred"
"P11215","P19256","ITGAM","CD58","pred"
"P11215","P49715","ITGAM","CEBPA","pred"
"P11215","P21333","ITGAM","FLNA","pred"
"P11215","Q8WZ75","ITGAM","ROBO4","pred"
"P11215","P42226","ITGAM","STAT6","pred"
"P11215","Q92478","ITGAM","CLEC2B","pred"
"P11215","Q6UWV2","ITGAM","MPZL3","pred"
"P11215","Q8N6C8","ITGAM","LILRA3","pred"
"P11215","P16109","ITGAM","SELP","pred"
"P11215","Q9NP99","ITGAM","TREM1","pred"
"P11215","Q99715","ITGAM","COL12A1","pred"
"P11215","Q5TFQ8","ITGAM","SIRPB1","pred"
"P11215","Q9H0E2","ITGAM","TOLLIP","pred"
"P11215","P21854","ITGAM","CD72","pred"
"P11215","Q8N149","ITGAM","LILRA2","pred"
"P11215","Q7Z6M3","ITGAM","MILR1","pred"
"P11215","Q5JSJ4","ITGAM","INTS6L","pred"
"P11215","P13591","ITGAM","NCAM1","pred"
"P11215","Q03001","ITGAM","DST","pred"
"P11215","Q9BXN2","ITGAM","CLEC7A","pred"
"P11215","P42229","ITGAM","STAT5A","pred"
"P11215","P25025","ITGAM","CXCR2","pred"
"P11215","Q30201","ITGAM","HFE","pred"
"P11215","P13688","ITGAM","CEACAM1","pred"
"P11215","P40933","ITGAM","IL15","pred"
"P11215","Q9HCK4","ITGAM","ROBO2","pred"
"P11215","P35579","ITGAM","MYH9","pred"
"P11215","P48740","ITGAM","MASP1","pred"
"P11215","Q15582","ITGAM","TGFBI","exp"
"P11215","Q9UHI8","ITGAM","ADAMTS1","pred"
"P11215","Q9BQ51","ITGAM","PDCD1LG2","pred"
"P11215","Q86YW5","ITGAM","TREML1","pred"
"P11215","P16581","ITGAM","SELE","pred"
"P11215","P51572","ITGAM","BCAP31","exp"
"P11215","Q5KU26","ITGAM","COLEC12","pred"
"P11215","Q9NWZ3","ITGAM","IRAK4","pred"
"P11215","Q6IQ23","ITGAM","PLEKHA7","pred"
"P11215","Q6UXB4","ITGAM","CLEC4G","pred"
"P11215","Q13683","ITGAM","ITGA7","pred"
"P11215","Q9HCL0","ITGAM","PCDH18","pred"
"P11215","Q96F15","ITGAM","GIMAP5","pred"
"P11215","Q14112","ITGAM","NID2","pred"
"P11215","Q16270","ITGAM","IGFBP7","pred"
"P11215","Q86YT9","ITGAM","JAML","pred"
"P11215","Q14116","ITGAM","IL18","pred"
"P11215","Q96QH2","ITGAM","PRAM1","pred"
"P11215","P33681","ITGAM","CD80","pred"
"P11215","Q9P121","ITGAM","NTM","pred"
"P11215","Q15744","ITGAM","CEBPE","pred"
"P11215","Q96RW7","ITGAM","HMCN1","pred"
"P11215","P23229","ITGAM","ITGA6","pred"
"P11215","Q96SY0","ITGAM","INTS14","pred"
"P11215","P16410","ITGAM","CTLA4","pred"
"P11215","Q8WVV5","ITGAM","BTN2A2","pred"
"P11215","Q9UGN4","ITGAM","CD300A","pred"
"P11215","Q15004","ITGAM","PCLAF","pred"
"P11215","Q8WWW0","ITGAM","RASSF5","pred"
"P11215","P16885","ITGAM","PLCG2","pred"
"P11215","Q9P1W8","ITGAM","SIRPG","pred"
"P11215","P24158","ITGAM","PRTN3","exp"
"P11215","P21730","ITGAM","C5AR1","pred"
"P11215","P12318","ITGAM","FCGR2A","pred"
"P11215","P16144","ITGAM","ITGB4","pred"
"P11215","P49716","ITGAM","CEBPD","pred"
"P11215","Q8TDQ0","ITGAM","HAVCR2","pred"
"P11215","Q9Y5E9","ITGAM","PCDHB14","pred"
"P11215","Q8TDQ1","ITGAM","CD300LF","pred"
"P11215","Q9Y490","ITGAM","TLN1","pred"
"P11215","Q9Y5H1","ITGAM","PCDHGA2","pred"
"P11215","P20138","ITGAM","CD33","pred"
"P11215","Q9Y5G1","ITGAM","PCDHGB3","pred"
"P11215","P17948","ITGAM","FLT1","pred"
"P11215","Q9BX59","ITGAM","TAPBPL","pred"
"P11215","P43405","ITGAM","SYK","pred"
"P11215","P31994","ITGAM","FCGR2B","pred"
"P11215","P98160","ITGAM","HSPG2","pred"
"P11215","Q9Y5G8","ITGAM","PCDHGA5","pred"
"P11215","P51617","ITGAM","IRAK1","exp;pred"
"P11215","Q14773","ITGAM","ICAM4","exp;pred"
"P11215","P20827","ITGAM","EFNA1","pred"
"P11215","Q14896","ITGAM","MYBPC3","pred"
"P11215","Q9Y5I0","ITGAM","PCDHA13","pred"
"P11215","Q14943","ITGAM","KIR3DS1","pred"
"P11215","Q01151","ITGAM","CD83","pred"
"P11215","P13612","ITGAM","ITGA4","pred"
"P11215","Q9H6X2","ITGAM","ANTXR1","pred"
"P11215","Q8N126","ITGAM","CADM3","pred"
"P11215","Q9Y4G6","ITGAM","TLN2","pred"
"P11215","Q00872","ITGAM","MYBPC1","pred"
"P11215","Q9Y5G6","ITGAM","PCDHGA7","pred"
"P11215","P78423","ITGAM","CX3CL1","pred"
"P11215","P23769","ITGAM","GATA2","pred"
"P11215","Q7Z3S7","ITGAM","CACNA2D4","pred"
"P11215","Q13349","ITGAM","ITGAD","pred"
"P11215","P18564","ITGAM","ITGB6","pred"
"P11215","P20701","ITGAM","ITGAL","pred"
"P11215","P38570","ITGAM","ITGAE","pred"
"P11215","P48061","ITGAM","CXCL12","pred"
"P11215","P17927","ITGAM","CR1","pred"
"P11215","Q04912","ITGAM","MST1R","pred"
"P11215","P15498","ITGAM","VAV1","pred"
"P11215","Q14324","ITGAM","MYBPC2","pred"
"P11215","Q9BZZ2","ITGAM","SIGLEC1","pred"
"P11215","Q9NR99","ITGAM","MXRA5","pred"
"P11215","P78509","ITGAM","RELN","pred"
"P11215","Q9BX67","ITGAM","JAM3","exp"
"P11215","Q02487","ITGAM","DSC2","pred"
"P11215","Q9NPY3","ITGAM","CD93","pred"
"P11215","P78380","ITGAM","OLR1","pred"
"P11215","Q08722","ITGAM","CD47","pred"
"P11215","P26006","ITGAM","ITGA3","pred"
"P11215","Q9HC29","ITGAM","NOD2","pred"
"P11215","Q92692","ITGAM","NECTIN2","pred"
"P11215","P28068","ITGAM","HLA-DMB","pred"
"P11215","P12111","ITGAM","COL6A3","pred"
"P11215","P16112","ITGAM","ACAN","pred"
"P11215","P13501","ITGAM","CCL5","pred"
"P11215","Q9Y279","ITGAM","VSIG4","pred"
"P11215","Q7Z6A9","ITGAM","BTLA","pred"
"P11215","Q9NQ25","ITGAM","SLAMF7","pred"
"P11215","P40189","ITGAM","IL6ST","pred"
"P11215","Q76LX8","ITGAM","ADAMTS13","pred"
"P11215","P61224","ITGAM","RAP1B","pred"
"P11215","Q8NFW1","ITGAM","COL22A1","pred"
"P11215","Q9NZC2","ITGAM","TREM2","pred"
"P11215","P13598","ITGAM","ICAM2","exp;pred"
"P11215","Q02556","ITGAM","IRF8","pred"
"P11215","P42081","ITGAM","CD86","pred"
"P11215","Q9NNX6","ITGAM","CD209","exp;pred"
"P11215","Q8NET5","ITGAM","NFAM1","pred"
"P11215","Q9UKX5","ITGAM","ITGA11","pred"
"P11215","P35968","ITGAM","KDR","pred"
"P11215","Q13203","ITGAM","MYBPH","pred"
"P11215","P61812","ITGAM","TGFB2","pred"
"P11215","Q14213","ITGAM","EBI3","pred"
"P11215","P26010","ITGAM","ITGB7","pred"
"P11215","P19876","ITGAM","CXCL3","pred"
"P11215","P16234","ITGAM","PDGFRA","pred"
"P11215","P16284","ITGAM","PECAM1","pred"
"P11215","Q96RD9","ITGAM","FCRL5","pred"
"P11215","Q9Y6N7","ITGAM","ROBO1","pred"
"P11215","Q13478","ITGAM","IL18R1","pred"
"P11215","P26038","ITGAM","MSN","pred"
"P11215","P19827","ITGAM","ITIH1","pred"
"P11215","Q01974","ITGAM","ROR2","pred"
"P11215","P26012","ITGAM","ITGB8","pred"
"P11215","Q9UMF0","ITGAM","ICAM5","pred"
"P11215","Q9NYQ7","ITGAM","CELSR3","pred"
"P11215","Q9Y616","ITGAM","IRAK3","pred"
"P11215","Q15306","ITGAM","IRF4","pred"
"P11215","P13500","ITGAM","CCL2","pred"
"P11215","P43121","ITGAM","MCAM","pred"
"P11215","P49238","ITGAM","CX3CR1","pred"
"P11215","P30273","ITGAM","FCER1G","pred"
"P11215","Q8IX05","ITGAM","CD302","pred"
"P11215","P29279","ITGAM","CTGF","pred"
"P11215","Q9UN75","ITGAM","PCDHA12","pred"
"P11215","P14543","ITGAM","NID1","pred"
"P11215","Q9H7M9","ITGAM","VSIR","pred"
"P11215","P35637","ITGAM","FUS","pred"
"P11215","P15813","ITGAM","CD1D","pred"
"P11215","Q9Y679","ITGAM","AUP1","exp;pred"
"P11215","Q9Y286","ITGAM","SIGLEC7","pred"
"P11215","P12110","ITGAM","COL6A2","pred"
"P11215","P19320","ITGAM","VCAM1","pred"
"P11215","P62834","ITGAM","RAP1A","pred"
"P11215","Q13571","ITGAM","LAPTM5","pred"
"P11215","Q5GFL6","ITGAM","VWA2","pred"
"P11215","Q9H158","ITGAM","PCDHAC1","pred"
"P11215","Q00013","ITGAM","MPP1","pred"
"P11215","Q14002","ITGAM","CEACAM7","pred"
"P11215","Q9NYZ4","ITGAM","SIGLEC8","pred"
"P11215","Q13443","ITGAM","ADAM9","pred"
"P11215","P56199","ITGAM","ITGA1","pred"
"P11215","Q96MS0","ITGAM","ROBO3","pred"
"P11215","Q9H2X3","ITGAM","CLEC4M","exp;pred"
"P11215","P55290","ITGAM","CDH13","pred"
"P11215","P15976","ITGAM","GATA1","pred"
"P11215","Q9Y5I1","ITGAM","PCDHA11","pred"
"P11215","P30530","ITGAM","AXL","pred"
"P11215","Q13422","ITGAM","IKZF1","pred"
"P11215","P78310","ITGAM","CXADR","pred"
"P11215","Q29980","ITGAM","MICB","pred"
"P11215","Q03405","ITGAM","PLAUR","exp;pred"
"P11215","P42574","ITGAM","CASP3","pred"
"P11215","Q29983","ITGAM","MICA","pred"
"P11215","Q495A1","ITGAM","TIGIT","pred"
"P11215","Q9Y5G7","ITGAM","PCDHGA6","pred"
"P11215","Q05707","ITGAM","COL14A1","pred"
"P11215","Q15109","ITGAM","AGER","pred"
"P11215","Q96P44","ITGAM","COL21A1","pred"
"P11215","P20036","ITGAM","HLA-DPA1","pred"
"P11215","Q6PI73","ITGAM","LILRA6","pred"
"P11215","Q86UX7","ITGAM","FERMT3","pred"
"P11215","P27918","ITGAM","CFP","pred"
"P11215","P32942","ITGAM","ICAM3","pred"
"P11215","Q14315","ITGAM","FLNC","pred"
"P11215","Q2UY09","ITGAM","COL28A1","pred"
"P11215","Q5VVH5","ITGAM","IRAK1BP1","pred"
"P11215","Q6UWL6","ITGAM","KIRREL2","pred"
"P11215","Q14511","ITGAM","NEDD9","pred"
"P11215","Q9H0F6","ITGAM","SHARPIN","exp"
"P11215","P13611","ITGAM","VCAN","pred"
"P11215","Q8NHJ6","ITGAM","LILRB4","pred"
"P11215","Q5ZPR3","ITGAM","CD276","pred"
"P11215","Q9UQC9","ITGAM","CLCA2","pred"
"P11215","Q14242","ITGAM","SELPLG","pred"
"P11215","Q9HBG7","ITGAM","LY9","pred"
"P11215","P17931","ITGAM","LGALS3","exp"
"P11215","Q14192","ITGAM","FHL2","pred"
"P11215","P53708","ITGAM","ITGA8","pred"
"P11215","Q96LC7","ITGAM","SIGLEC10","pred"
"P11215","P56945","ITGAM","BCAR1","pred"
"P11215","Q99607","ITGAM","ELF4","pred"
"P11215","Q96JQ0","ITGAM","DCHS1","pred"
"P11215","P17301","ITGAM","ITGA2","pred"
"P11215","Q9BY67","ITGAM","CADM1","pred"
"P11215","P14778","ITGAM","IL1R1","pred"
"P11215","Q9Y336","ITGAM","SIGLEC9","pred"
"P11215","Q96S59","ITGAM","RANBP9","pred"
"P11215","Q8WXG9","ITGAM","GPR98","pred"
"P11215","Q502W6","ITGAM","VWA3B","pred"
"P11215","Q96A28","ITGAM","SLAMF9","pred"
"P11215","Q02388","ITGAM","COL7A1","pred"
"P11215","Q9Y5G3","ITGAM","PCDHGB1","pred"
"P11215","P31146","ITGAM","CORO1A","pred"
"P11215","Q9UKJ1","ITGAM","PILRA","pred"
"P11215","P31997","ITGAM","CEACAM8","exp"
"P11215","Q95460","ITGAM","MR1","pred"
"P11215","P19838","ITGAM","NFKB1","pred"
"P11215","P27930","ITGAM","IL1R2","pred"
"P11215","P55008","ITGAM","AIF1","pred"
"P11215","Q16581","ITGAM","C3AR1","pred"
"P11215","Q9NYK1","ITGAM","TLR7","pred"
"P11215","Q15399","ITGAM","TLR1","pred"
"P11215","Q9UDY8","ITGAM","MALT1","pred"
"P11215","P20023","ITGAM","CR2","pred"
"P11215","Q8IX03","ITGAM","WWC1","pred"
"P11215","P15291","ITGAM","B4GALT1","pred"
"P11215","Q9NYQ8","ITGAM","FAT2","pred"
"P11215","Q9NYQ6","ITGAM","CELSR1","pred"
"P11215","Q96S86","ITGAM","HAPLN3","pred"
"P11274","P29376","BCR","LTK","pred"
"P11274","Q9Y2R2","BCR","PTPN22","pred"
"P11279","P21580","LAMP1","TNFAIP3","exp"
"P11309","Q13546","PIM1","RIPK1","pred"
"P11362","P29376","FGFR1","LTK","pred"
"P11362","P31994","FGFR1","FCGR2B","pred"
"P11362","Q13546","FGFR1","RIPK1","pred"
"P11509","P24855","CYP2A6","DNASE1","pred"
"P11684","P16410","SCGB1A1","CTLA4","pred"
"P11801","Q13546","PSKH1","RIPK1","pred"
"P11836","P20023","MS4A1","CR2","pred"
"P11912","P16410","CD79A","CTLA4","pred"
"P11912","Q9Y2R2","CD79A","PTPN22","pred"
"P11940","Q13546","PABPC1","RIPK1","pred"
"P12236","P21580","SLC25A6","TNFAIP3","pred"
"P12236","Q13546","SLC25A6","RIPK1","pred"
"P12236","Q15116","SLC25A6","PDCD1","exp"
"P12272","P31994","PTHLH","FCGR2B","pred"
"P12318","P16410","FCGR2A","CTLA4","pred"
"P12318","P19878","FCGR2A","NCF2","pred"
"P12318","P31994","FCGR2A","FCGR2B","exp;pred"
"P12319","P16410","FCER1A","CTLA4","pred"
"P12319","P31994","FCER1A","FCGR2B","pred"
"P12544","Q9NSU2","GZMA","TREX1","pred"
"P12755","Q13546","SKI","RIPK1","pred"
"P12931","P16410","SRC","CTLA4","pred"
"P12931","P21580","SRC","TNFAIP3","exp;pred"
"P12931","P29376","SRC","LTK","pred"
"P12931","P31994","SRC","FCGR2B","exp;pred"
"P12931","Q13546","SRC","RIPK1","pred"
"P12931","Q14765","SRC","STAT4","pred"
"P12931","Q15116","SRC","PDCD1","pred"
"P12931","Q9Y2R2","SRC","PTPN22","pred"
"P12956","P19878","XRCC6","NCF2","pred"
"P13164","P20023","IFITM1","CR2","exp"
"P13232","P16410","IL7","CTLA4","pred"
"P13489","P21580","RNH1","TNFAIP3","exp"
"P13498","P19878","CYBA","NCF2","exp;pred"
"P13500","Q14765","CCL2","STAT4","pred"
"P13501","P16410","CCL5","CTLA4","pred"
"P13501","P19878","CCL5","NCF2","pred"
"P13501","P21580","CCL5","TNFAIP3","pred"
"P13501","Q13546","CCL5","RIPK1","pred"
"P13501","Q13568","CCL5","IRF5","pred"
"P13569","Q13546","CFTR","RIPK1","pred"
"P13612","P31994","ITGA4","FCGR2B","pred"
"P13671","P31994","C6","FCGR2B","pred"
"P13686","P19878","ACP5","NCF2","pred"
"P13796","P21580","LCP1","TNFAIP3","pred"
"P13861","Q13546","PRKAR2A","RIPK1","pred"
"P13861","Q9Y2R2","PRKAR2A","PTPN22","exp"
"P14222","P19878","PRF1","NCF2","pred"
"P14316","P19878","IRF2","NCF2","pred"
"P14316","Q13568","IRF2","IRF5","pred"
"P14316","Q14765","IRF2","STAT4","pred"
"P14317","P19878","HCLS1","NCF2","pred"
"P14317","P31994","HCLS1","FCGR2B","pred"
"P14373","P21580","TRIM27","TNFAIP3","pred"
"P14373","Q13546","TRIM27","RIPK1","exp"
"P14373","Q13568","TRIM27","IRF5","pred"
"P14598","P19878","NCF1","NCF2","exp;pred"
"P14616","P29376","INSRR","LTK","pred"
"P14616","Q13546","INSRR","RIPK1","pred"
"P14616","Q14765","INSRR","STAT4","pred"
